item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112525534,Abuk Malual Aken,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525534-58E8E7F3-709E-4108-8F9B-CA4D167E7F60
Q104687952,Abuk Payit Ayik,Q459960,SPLM,,,2010-04-15,2011-07-09,female,Q104687952-63472294-1EB0-42BC-95AC-C9BB9166DEE3
Q112525538,Achol Barouk Akasha,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525538-698CB7E4-B6C8-43E0-8C09-549EDB2EF4FD
Q112525552,Adeng Leek Deng,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525552-38077244-D8AA-4C4E-9D76-64306067CFBF
Q4693074,Agnes Kwaje Lasuba,Q459960,SPLM,,,2010-04-15,2011-07-09,female,Q4693074-423F041E-1258-4D83-90FF-3D57F255482F
Q112525554,Agyou Agyou Thiep,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525554-8174BAEA-7705-4C84-8DF7-A0D6581F50FA
Q112525555,Akon Bol Akok,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525555-E0AB8204-A203-4B4C-873F-70308ED70F7C
Q112525556,Akon Diang Athian,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525556-FE22B92A-C460-4981-B686-7A1BB16E595D
Q112525558,Akot Dau Niyok,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525558-5E9B78C7-1CB9-422F-8665-966AA2A65191
Q112525559,Akuot Deng Kawal,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525559-A19D8E17-5CDA-432D-BD65-5CFDF5216FC4
Q112525561,Aleu Ayieny Aleu,Q459960,SPLM,,,2010-04-15,2011-07-09,male,Q112525561-970DE463-41DA-4FF1-8E20-1AF4B1A9CA60
Q112525563,Alfred Wol Acwal,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525563-520C454C-168D-4884-A248-2676D56FE9D3
Q112525565,Andrew Okong Ayom,Q15980873,SPLM-DC,,,2010-04-15,2011-07-09,,Q112525565-CA482298-4D63-4353-9115-877ECA5739E1
Q112525566,Angelina Nyamouka Magoun,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525566-A215756F-264D-48FA-A348-AA4B9F95AD82
Q112525568,Angelo Lokinga Lohita,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525568-281A61C5-6E28-40B1-B8E2-447B0D4DE31F
Q112525570,Angoryang Mark Loifidi,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525570-3819710D-3614-4EF5-A924-896974930C55
Q4772949,Anthony Lino Makana,Q459960,SPLM,,,2010-04-15,2011-07-09,male,Q4772949-45B48EFA-E528-43E0-9074-56C053BFB7BE
Q112525572,Arop Madut Arop,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525572-835622E1-4CE0-447A-AE69-94611F656764
Q112525573,Asha Abboz Akuei,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525573-55B4095C-11B0-4810-987A-57446AAC3D7D
Q12748065,Awut Deng Achuil,Q459960,SPLM,,,2010-04-15,2011-07-09,female,Q12748065-BD51D145-6BDB-4CFE-A646-85F595FB2094
Q112525577,Aya Janet Alex,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525577-F2A6146B-91D0-4F10-B325-9BF185499C77
Q112525578,Bangout Amum Okiech,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525578-D6194708-1E2B-43C4-9D1D-904DE19F8BFF
Q4861322,Barnaba Marial Benjamin,Q459960,SPLM,,,2010-04-15,2011-07-09,male,Q4861322-D05A6B42-61E0-4178-A609-F2C0A8CE945F
Q112525579,Barnardo Kpasira Martin,Q459960,SPLM,,,2010-04-15,2011-07-09,,Q112525579-60FF8C3F-F0C1-42F2-A007-4511930A6D40
Q23806325,Barri A. Wanji,Q459960,SPLM,,,2010-04-15,2011-07-09,male,Q23806325-B4715999-91DF-43CE-BAA3-F9446F0760A2
