num,itemLabel,title,partyLabel,areaLabel
1,James Wani Igga,Speaker,SPLM,Central Eq.
2,Onyoti Adigo Nyikwac,Opposition/L,SPLM-DC,Upper Nile
3,Daniel Awet Akot,D/Speaker,SPLM,Lakes
4,Anthony Lino Makana,Minister,SPLM,Western Eq.
5,Awut Deng Achuil,Minister,SPLM,Warrap
6,Agnes Kwaje Lasuba,Minister,SPLM,Central Eq.
7,Barnaba Marial Benjamin,Minister,SPLM,Jonglei
8,David Deng Athorbei,Minister,SPLM,Lakes
9,Gier Chuang Aluong,Minister,SPLM,Jonglei
10,James Kok Ruea,Minister,SPLM,Jonglei
11,Luka T. Monoja,Minister,SPLM,Central Eq.
12,Madut Biar Yel,Minister,SPLM,Northern B.G.
13,Michael Makuei Lueth,Minister,SPLM,Jonglei
14,Nhial Deng Nhial,Minister,SPLM,Warrap
15,Nyalok Tiong Gatluak,Minister,SPLM,Unity
16,Paul Mayom Akec,Minister,SPLM,Lakes
17,Bangout Amum Okiech,Govt Chief W.,SPLM,Jonglei
18,Andrew Okong Ayom,Opp. Chief W.,SPLM-DC,Upper Nile
19,Aleu Ayieny Aleu,Chairperson,SPLM,Warrap
20,Prof. Barri A. Wanji,Chairperson,SPLM,Western B. G.
21,Timothy Tut Chuol,Chairperson,SPLM,Jonglei
22,Dengtiel A. Kur,Chairperson,SPLM,Jonglei
23,Daniel Deng Monydit,Chairperson,SPLM,Lakes
24,Joy Kwaje Eluzai,Chairperson,SPLM,Central Eq.
25,Kom Kom Geng,Chairperson,SPLM,Northern B.G.
26,Angelina Nyamouka Magoun,Chairperson,SPLM,Jonglei
27,James Lual Deng,Chairperson,SPLM,Warrap
28,Henry Dilah Odwar,Chairperson,SPLM,Eastern Eq.
29,Pascal Bandindi Uru,Chairperson,SPLM,Western Eq.
30,Debora Ajok Garang,Chairperson,SPLM,Unity
31,Martha Martin Dak,Chairperson,SPLM,Upper Nile
32,James Janka Duku,Chairperson,SPLM,Central Eq.
33,Stephen Ajongo Akol,Chairperson,SPLM,Northern B.G.
34,Rev. Mathew Mathiang Deang,Chairperson,SPLM,Unity
35,James Reat Gony,Chairperson,SPLM,Upper Nile
36,Mary Kiden Kimbo,Chairperson,Independent,Central Eq.
37,David Okuer Akwany,D/Chairperson,SPLM,Jonglei
38,Henry Omai Akolawin,D/Chairperson,SPLM,Upper Nile
39,Kur Akol Deng,D/Chairperson,SPLM,Upper Nile
40,Parmena Awerial Along,D/Chairperson,SPLM,Lakes
41,Umjuma Juma Sabil,D/Chairperson,SPLM,Western B. G.
42,Lucy Iyaya Loki,D/Chairperson,SPLM,Eastern Eq.
43,Kutin Bayak Gil,D/Chairperson,SPLM,Jonglei
44,Remijo Lasu Peter,D/Chairperson,SPLM,Central Eq.
45,Ruai Kuol Jal,D/Chairperson,SPLM,Unity
46,Jasmine Samuel Adakayi,D/Chairperson,SPLM,Western Eq.
47,Mary Atong Bak,D/Chairperson,SPLM,Warrap
48,Mary Nawai Martin,D/Chairperson,SPLM,Western Eq.
49,Mary Kiden Enoka,D/Chairperson,SPLM,Central Eq.
50,Akuot Deng Kawal,D/Chairperson,SPLM,Warrap
51,Gordon Matot Tut,D/Chairperson,SPLM,Lakes
52,Ngong Deng Gum,D/Chairperson,SPLM,Northern B.G.
53,Betty Achan Ogwaro,D/Chairperson,SPLM,Eastern Eq.
54,Asha Abboz Akuei,D/Chairperson,SPLM,Warrap
55,Abuk Malual Aken,Member,SPLM,Lakes
56,Abuk Payit Ayik,Member,SPLM,Upper Nile
57,Achol Barouk Akasha,Member,SPLM,Northern B.G.
58,Adeng Leek Deng,Member,SPLM,Jonglei
59,Agyou Agyou Thiep,Member,SPLM,Northern B.G.
60,Akon Bol Akok,Member,SPLM,Northern B.G.
61,Alfred Wol Acwal,Member,SPLM,Northern B.G.
62,Akon Diang Athian,Member,SPLM,Warrap
63,Akot Dau Niyok,Member,SPLM,Upper Nile
64,Angelo Lokinga Lohita,Member,SPLM,Eastern Eq.
65,Angoryang Mark Loifidi,Member,SPLM,Eastern Eq.
66,Arop Madut Arop,Member,SPLM,Warrap
67,Aya Janet Alex,Member,SPLM,Central Eq.
68,Bataria Mirror Maker,Member,SPLM,Unity
69,Beatrice Aber Samson,Member,SPLM,Eastern Eq.
70,Benjamin Malek Alier,Member,SPLM,Jonglei
71,Barnardo Kpasira Martin,Member,SPLM,Western B. G.
72,Bidali Moses Onesimo,Member,SPLM,Central Eq.
73,Bellario Ahoy Ngong,Member,SPLM,Northern B.G.
74,Bul Andrea Cosmas,Member,Independent,Eastern Eq.
75,Charles Majak Alier,Member,SPLM,Warrap
76,Charles Wello Onyony,Member,SPLM,Jonglei
77,David Nailo Mayo,Member,SPLM,Eastern Eq.
78,David Gai Chan,Member,SPLM,Jonglei
79,David Unyo Demey,Member,SPLM,Upper Nile
80,David Yien Bilieth,Member,SPLM,Jonglei
81,Deng Dau Deng,Member,SPLM,Jonglei
82,Dousman Joyce James,Member,SPLM,Central Eq.
83,Elias Mathuc,Member,SPLM,Western B. G.
84,Elizabeth Adut Mel,Member,SPLM,Northern B.G.
85,Elizabeth Nyaluac Tap,Member,SPLM,Jonglei
86,Emelia Aluel Bol,Member,SPLM,Lakes
87,Elizabeth Nyawac Chol,Member,SPLM,Upper Nile
88,Fatima Nyawang Biliu,Member,SPLM,Unity
89,Festo Faustino Kumba,Member,SPLM,Western Eq.
90,Francis Lokurnyang Angou,Member,SPLM,Jonglei
91,Garang Deng Akong,Member,SPLM,Northern B.G.
