num,itemLabel,title,partyLabel,areaLabel
92,Gatwech Lam Puoch,Member,SPLM,Upper Nile
93,Gathuak Riak Jak,Member,SPLM,Upper Nile
94,George Costa Faustino,Member,SPLM,Western Eq.
95,Grace Amo Alex,Member,SPLM,Eastern Eq.
96,Gadwani Lopuke Cormoi,Member,SPLM,Eastern Eq.
97,Henry Stephen Danga,Member,SPLM,Central Eq.
98,Ismail Mathew Mukhter,Member,SPLM,Central Eq.
99,Jacob Dau Kuol,Member,SPLM,Northern B.G.
100,James Gatkur Wishierbal,Member,SPLM,Unity
101,James Kueth Chol,Member,SPLM,Upper Nile
102,John Chol Machar,Member,Independent,Upper Nile
103,John Ivo Mounto,Member,SPLM,Upper Nile
104,John Jok Chol,Member,SPLM,Jonglei
105,Josephine Napwon Cosmos,Member,SPLM,Eastern Eq.
106,Julius Ajeo Moilinga,Member,SPLM,Eastern Eq.
107,Juma AlI Malau,Member,SPLM,Central Eq.
108,Juma Amiro Dobo,Member,SPLM,Western Eq.
109,June Malek Kur,Member,SPLM,Jonglei
110,Kong Dak Jishlive,Member,SPLM,Unity
111,Kornelio Mawien Dhor,Member,SPLM,Warrap
112,Kuany Ayom Deng,Member,SPLM,Warrap
113,Kuony War Jok,Member,SPLM,Jonglei
114,Kuot Deng Kuot,Member,SPLM,Warrap
115,Listisia Ihure Santino,Member,SPLM,Eastern Eq.
116,Machok Majong Jong,Member,SPLM,Warrap
117,Madalena Pita Emilion,Member,SPLM,Central Eq.
118,Majok Yak Majok,Member,SPLM,Warrap
119,Majok Dut Muorwel,Member,SPLM,Warrap
120,Maker Deng Malou,Member,SPLM,Jonglei
121,Manasseh Magok Rundial,Member,SPLM,Unity
122,Mark Lotede Lowi,Member,SPLM,Eastern Eq.
123,Mark Nyipouch Ubong,Member,SPLM,Western B. G.
124,Mary Rero Jwac,Member,SPLM-DC,Upper Nile
125,Martha Akuany Deng,Member,SPLM,Jonglei
126,Martha Atong Mansor,Member,SPLM,Upper Nile
127,Martin Ohuro Okeruk,Member,SPLM,Eastern Eq.
128,Mary Puru Michael,Member,SPLM,Central Eq.
129,Mary Nyaulang Ret,Member,SPLM,Jonglei
130,Mary Bicensio Wani,Member,SPLM,Central Eq.
131,Mat Ron War Roy,Member,SPLM,Upper Nile
132,Martha Ayuek Yac,Member,SPLM,Warrap
133,Mel Wal Achien Yor,Member,SPLM,Northern B.G.
134,Michael Muot Dieu,Member,SPLM,Unity
135,Mohammed Ahmed Musa,Member,SPLM,Western B. G.
136,Monica Ayen Maguat,Member,SPLM,Lakes
137,Nyachut Arok,Member,SPLM,Lakes
138,Negere Joseph Paciko,Member,SPLM,Western Eq.
139,Nibol Daniel Dhieu,Member,SPLM,Lakes
140,Nyanyang Lok Rich,Member,SPLM,Jonglei
141,Nyibol Bol Matip,Member,SPLM,Warrap
142,Ohidei Victor Omuho,Member,Independent,Eastern Eq.
143,Peter Bashir Gbandi,Member,SPLM,Western Eq.
144,Prof. Paul Logale Jumi,Member,SPLM,Central Eq.
145,Paulino Laku Kedia,Member,SPLM,Central Eq.
146,Peter Longole Kuam,Member,SPLM,Eastern Eq.
147,Philip Thon Leek,Member,SPLM,Jonglei
148,Ramadan El Amin,Member,SPLM,Western B. G.
149,Rebecca Atuet Makuet,Member,SPLM,Lakes
150,Riek Maniel Ayuel,Member,SPLM,Unity
151,Rejoice Bauda Simon,Member,SPLM,Western Eq.
152,Richard K. Mulla,Member,Independent,Western Eq.
153,Samuel Aban Achin,Member,SPLM-DC,Upper Nile
154,Samuel Duwar Deng,Member,SPLM,Warrap
155,Sebur John Mansuk,Member,SPLM,Central Eq.
156,Simon Deng Duang,Member,SPLM,Northern B.G.
157,Simon Malual Deng,Member,SPLM,Lakes
158,Suzan Wasuk Sokiri,Member,SPLM,Warrap
159,Timothy Taban Tuch,Member,SPLM,Jonglei
160,Theophilus Ochang Lotti,Member,SPLM,Eastern Eq.
161,Tongun Lado Rombek,Member,SPLM,Central Eq.
162,Tulio Odongi Ayahus,Member,SPLM,Eastern Eq.
163,Victoria Adhar Arop,Member,SPLM,Warraaap
164,Vosca Martin Kumbori,Member,SPLM,Western Eq.
165,Weu Kong Koyang,Member,Independent,Upper Nile
166,Zakaria Matur Makuer,Member,SPLM,Lakes
167,Riek Machar Teny,Vice President,SPLM,Upper Nile
