item,itemLabel,position,positionLabel,state,stateLabel,startDate
,Ahmed al-Omda,,Governor of Blue Nile,Q309489,Blue Nile,2021-06-21
,Adeeb Abdul Rahman Yousif,,Governor of Central Darfur,Q4116493,Central Darfur,2020-07-27
Q22948908,Abdul Hamid Musa Kasha,,Governor of East Darfur,Q3545641,East Darfur,2020
,Abdullah Ahmed Ali Idris,,Governor of Al Jazirah,Q309469,Al Jazirah,2020-07-27
,Fateh al-Rahman al-Amin,,Governor of Kassala,Q954963,Kassala,2020
,Ayman Khaled Nimer,,Governor of Khartoum,Q310385,Khartoum,2020-07-27
,Nimir Mohammed Abdel Rahman,,Governor of North Darfur,Q688306,North Darfur,2021-06-21
,Khaled Mustafa Adam Othman,,Governor of North Kurdufan,Q864093,North Kurdufan,2020-07-27
,Amal Muhammad Izz Al-Din Othman,,Governor of Northern,Q310118,Northern,2020-07-27
,Sulaiman Ali Muhammad Musa,,Governor of Al Qadarif,Q309478,Al Qadarif,2020-07-27
,Abdullah Chingray Ohaj,,Governor of Red Sea,Q310120,Red Sea,2020-07-27
,Amna Ahmed Mohamed Ahmed al-Makki,,Governor of River Nile,Q849297,River Nile,2020-07-27
,Al-Mahi Muhammad Suleiman al-Mahi,,Governor of Sennar,Q865534,Sennar,2020-07-27
,Musa Mahdi Ishaq,,Governor of South Darfur,Q838778,South Darfur,2020-07-27
,Hamed al-Bashir Ibrahim,,Governor of South Kurdufan,Q465490,South Kurdufan,2020-07-27
,Khamis Abakar,,Governor of West Darfur,Q846331,West Darfur,2021-06-21
,Hammad Abdul Rahman Salih,,Governor of West Kurdufan,Q536396,West Kurdufan,2020-07-27
,Ismail Fath al-Rahman Hamed Warraq,,Governor of White Nile,Q311371,White Nile,2020-07-27
