name,id,found,desc
Abdallah Hamdok,Q27654948,Abdalla Hamdok,Sudanese public administrator and prime minister
Ahmed Bilal Osman,Q4695771,Ahmed Bilal Osman,Sudanese politician
Al -Cherif Ahmed Omar Badr,Q100258784,,الشريف أحمد عمر
Albino Akol Akol,Q50379451,Lily Albino Akol Akol,politician from South Sudan
Ali Ahmed Karti,Q12228166,Ali Ahmed Karti,Sudanese politician
Bakri Hassan Saleh,Q15700032,Bakri Hassan Saleh,Sudanese politician
Deng Alor Kuol,Q5256910,Deng Alor Kuol,Minister of Foreign Affairs in the Cabinet of South Sudan
George Kongor Arop,Q23540905,George Kongor Arop,politician
Hatim Al-Sir,Q286743,Sirr Al-Khatim Al-Khalifa,President of Sudan (1919-2006)
Ibrahim Ghandour,Q21933547,Ibrahim Ghandour,Sudanese politician
Ibrahim Mahmoud Hamad,Q5984644,Ibrahim Mahmoud Hamad,Sudanese Governor of Kassala State and Minister of the Interior
John Garang,Q167444,John Garang,South Sudanese politician (1945-2005)
Moses Machar,Q23541055,Moses Kacoul Machar,politician
Mubarak Abdullahi El-Fadil El-Mahdi,Q6930870,Mubarak al Fadil al Mahdi,Sudanese politician
Pagan Amum Okiech,Q2046108,Pagan Amum,"South Sudanese politician, Minister of Peace"
Peter Adwok Nyaba,Q11995405,Peter Adwok Nyaba,politician
Riek Gai,Q16204805,Riek Gai Kok,politician
Salva Kiir Mayardit,Q57315,Salva Kiir Mayardit,South Sudanese politician
Zubair Ahmed al-Hassan,Q106661767,Al-Zubair Ahmed Al-Hassan,Sudanese politician
Abd al-Basit Sabdirat,Q112325535,Abd al-Basit Sabdirat,Abd al-Basit Sabdirat
Abd al-Hamid Musa Kasha,Q112325536,Abd al-Hamid Musa Kasha,Abd al-Hamid Musa Kasha
Abd-al-Rahman Sa’id Abd-al Rahman,Q112325538,Abd-al-Rahman Sa’id Abd-al Rahman,Abd-al-Rahman Sa’id Abd-al Rahman
Abdalla Ali Masar,Q112325539,Abdalla Ali Masar,Abdalla Ali Masar
Abdalla Suleiman Abdala,Q112325540,Abdalla Suleiman Abdala,Abdalla Suleiman Abdala
