@@,item,itemlabel,position,positionlabel,startdate,enddate
+++,Q112325586,Ali Osman Mohamed Taha,Q7925069,Vice-President,1998-02-12,2013-12-08
->,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2013-12-08,2019-02-23->2017-03-01
+++,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2018-09-09,2019-02-23
->,Q57265,Lt-Gen Umar Hasan Ahmad al-Bashir,Q14948193->Q112325305,President and Prime Minister,1989-06-30->2002-08-19,2019-04-11
->,Q2161477,Osman Yusuf Kibir,Q7925069,Vice-President,2018-09-09,2019-04-11->2019-03-13
