item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112861827,Abu al-Gasim Bartam,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861827-7837DD7E-5D5D-4FEC-87AB-383849F70DB1
Q112861828,Ahmed Barsham Mohamed,,,,,2015-06-01,2019-04-11,,Q112861828-AE280D0F-9760-43D9-B2D0-C8839432F33B
Q112861830,Al-Tayeb Ahmed Ali,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861830-780DF90E-81D8-4FFB-BAE6-383357E00B72
Q112325583,Ali Mahmoud,Q1471945,NCP,,,2015-06-01,2019-04-11,,Q112325583-C1A9E701-6258-4CF8-9C02-CB469559AD56
Q112861831,Ali Youssef Dafa’allah,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861831-62D2CED0-CA29-43F8-9A1F-AA2D124E8F29
Q112861832,Fathi Mohamed Issa,,,,,2015-06-01,2019-04-11,,Q112861832-26906CC4-1A01-45DF-936A-9D3A257F5FB2
Q112861833,Hamid Sharif,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861833-43F9911E-7D97-4A3D-B6F0-4FF9C43139DD
Q112861834,Harazim Ahmed al-Mahboub,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861834-479219EF-0992-4217-B1FC-B75699AE89B8
Q112861836,Ismail Abdallah,,,,,2015-06-01,2019-04-11,,Q112861836-E4EE9205-50D2-491C-816A-1E01142C9048
Q112861837,Mohamed Adam Bahshain,Q5255850,DUP,,,2015-06-01,2019-04-11,,Q112861837-17F99243-D2D1-417D-8228-AB41CC8CF6C1
Q112861838,Mohamed al-Tahir Aseel,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861838-FAC8AD5D-C2A6-448F-BA29-8E470BEC8B98
Q112861839,Mubarak Abas,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861839-3E269518-6C83-4950-9A68-1342FA154F10
Q112861840,Mubarak al-Nour,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861840-AD08F94C-03DE-4E9C-8990-C94B51D0A2E0
Q112861841,Omer Suleiman Adam,,,,,2015-06-01,2019-04-11,,Q112861841-B7B66362-935A-48CE-82CC-55A904FB6670
Q112861842,Osama Atta al-Manan,Q5255850,DUP,,,2015-06-01,2019-04-11,,Q112861842-FE5C1586-F60E-4014-B6BF-45BCD7D97DA6
Q112861843,Salah Ahmed al-Nour,Q327591,IND,,,2015-06-01,2019-04-11,,Q112861843-87C56290-0337-4238-A210-3D0132B81602
