ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q112791180,"National Unity Government of Sudan, 2005–2007",2005-09-20,11,,,2007-12-26,11,,,,,,,,,,
,Q112795889,"Cabinet of Sudan, 2010-2011",2010-06-15,11,,,2011-12-07,11,,,,,,,,,,
,Q112799514,"Cabinet of Sudan, 2015-2017",2015-06-07,11,,,2017-05-12,11,,,,,,,,,,
,Q112673227,Hamdok Cabinet,2019-09-05,11,,,,,,,,,,,,,,
