item,itemLabel,position,positionLabel,startDate,endDate,psid
Q112325541,Abdalla Tiya Guma’a,Q112325286,Minister of Health,2010-06-16,2011-12-27,Q112325541-D4344C50-4562-4828-ACBD-CEDF56B48FBB
Q112325545,Abdel-Rahim Mohamed Hussein,Q85851442,Minister of Defence,2005-09-21,2015-06-07,Q112325545-A8DB6538-B8DB-43C4-A459-74F7F7192A6E
Q112325552,Abdul-Bagi Al-Gailani,Q112325300,Minister of Minerals,2010-06-16,2011-12-27,Q112325552-EA3184DA-6B0E-4297-AEC3-11D6AF34D6E6
Q112325553,Abdul-Halim Ismail Al-Mutaafi,Q112325266,Minister of Agriculture,2010-06-16,2011-12-27,Q112325553-6F20E4F5-FDE6-4B90-B766-6F2D204CE320
Q112325558,Abdul-Wahab Mohamed Osman,Q112325309,Minister of Roads and Bridges,2010-06-16,2011-12-27,Q112325558-4F9C6832-9420-4168-859D-DAE4356079E0
Q112325566,Ahmed Babiker Nihar,Q112325271,"Minister of Antiquities,Tourism and Wildlife",2010-06-16,2011-12-27,Q112325566-B6707BD9-6EAF-4FA8-8C00-AC2421E63CA3
Q112325578,Al-Samawa’al Khalafalla Al-Quraish,Q112325276,Minister of Culture,2010-06-16,2012-07-09,Q112325578-0E54EA92-D601-45A0-B5F6-6BED569E2177
Q112325583,Ali Mahmood Abdul-Rasool,Q105926147,Minister of Finance and National Economy,2010-06-16,2013-12-08,Q112325583-CDEBFE3C-67B1-471D-AFB1-4E1C0B45A314
Q112325590,Amira Al-Fadil Mohamed Al-Fadil,Q112325320,Minister of Welfare and Social Security,2010-06-16,2013-12-08,Q112325590-F8B47CC9-D3A3-47D9-99A4-D7D04A4D6AB9
Q112325592,Awad Ahmed Al-Jaz,Q112325290,Minister of Industry,2010-06-16,2011-12-27,Q112325592-13962834-91BE-4389-B7F6-1D1CBF681FCD
Q112325596,Azhari Al-Tigani Awad Al-Sayid,Q112325308,Minister of Guidance and Endowments,2005-09-21,2011-12-27,Q112325596-DA8BD01C-01CA-4D9F-9BD1-E939764817DB
Q112325620,Chol Ram Pang,Q112325317,Minister of Transportation,2010-06-16,2011-12-27,Q112325620-05496B1D-C235-43C1-8C20-1B1040BB71E4
Q112325621,Dak Dop Pishop,Q112325298,Minister of Labor,2010-06-16,2011-12-27,Q112325621-0CA3C63F-53EF-437A-8FFF-02F8118880C2
Q112325622,Eissa Bushra Mohamed,Q111192637,Minister of Sciences and Technology,2010-06-16,2012-07-09,Q112325622-059DE0EB-0058-464B-B4DC-B800089256C8
Q112325624,Elias Neyama Lel,Q112325283,Minister of Foreign Trade,2010-06-16,2011-12-27,Q112325624-9144B26C-0A42-4E34-8192-157EBDC75FEC
Q112325628,Faisal Hassan Ibrahim,Q112325270,Minister of Animal Resources and Fisheries,2010-06-16,2015-06-07,Q112325628-7EB72750-2DF1-482A-8930-7991824974E1
Q112325629,Farah Mustafa Abdalla,Q112325279,Minister of General Education,2010-06-16,2011-12-27,Q112325629-C98389AC-1D91-4BD4-BF3C-90AA855459AD
Q112325632,George Poreng Neombe,Q112325294,Minister of Investment,2008-09-14,2011-12-27,Q112325632-982AEFC6-1EE4-4AA2-B795-22BDADE1CB0A
Q112325638,Haj Magid Siwar,Q112325322,Minister of Youth and Sports,2010-06-16,2011-12-27,Q112325638-FA6276B2-7555-404E-97E1-B1C0274497B9
Q112325639,Halima Hassaballa Al-Naeem,Q112325307,Minister of Parliamentary Affairs,2010-06-16,2011-12-27,Q112325639-D35E0320-7C7E-4A88-8395-E7BE6AC38DFB
Q112325661,Jalal Yousif Al-Degair,Q112325293,Minister of International Cooperation,2010-06-16,2011-12-27,Q112325661-8383E979-BE2A-4BFD-97E4-4AE37D022B4B
Q112325663,Joseph Malwal Dong,Q112325282,"Minister of Environment,Forestry and Urban Development",2010-06-16,2011-12-27,Q112325663-BB5700E8-F698-4984-A3FC-B2FC1890B337
Q112325664,Joseph Lual Achwel,Q112325289,Minister of Humanitarian Affairs,2010-06-16,2011-12-27,Q112325664-68927A53-8006-4B4A-AA59-4CD0ECBE3443
Q112325667,Kamal Abdul-Latif,Q112325288,Minister of Human Resources Development,2010-06-16,2011-12-27,Q112325667-ECEDD174-306F-458A-AA47-1CE96653A9AF
Q112325668,Kamal Ali Mohamed,Q112325296,Minister of Irrigation and Water Resources,1999-03-06,2011-12-27,Q112325668-8C52A436-A32E-40BC-BD64-996659CDCDDC
Q112325669,Kamal Mohamed Obeid,Q112325291,Minister of Information,2010-06-16,2011-12-27,Q112325669-1BCB6442-AA1B-4D11-91D3-78AB43E70234
Q112325678,Lual Achwel Deng,Q112325303,Minister of Petroleum,2010-06-16,2011-12-27,Q112325678-2DF914AF-A256-4F62-B56B-9CBDA58555EB
Q112325679,Luka Byong,Q112325274,Minister of Cabinet Affairs,2010-06-16,2011-12-27,Q112325679-F6AC4DA7-1C58-4C5A-9E1C-E41BE754FF0F
Q112325728,Mohamed Bushara Dousa,Q112325297,Minister of Justice,2010-06-16,2015-06-07,Q112325728-42BBBB47-7AE7-4FA1-88A0-CD58EF4DEC2E
Q112325749,Osama Abdalla Mohamed Al-Hassan,Q112325280,Minister of Electricity and Dams,2010-06-16,2012-07-09,Q112325749-15EE0470-C2AC-48B6-9903-96DE91B00513
Q112325802,Yahiya Abdalla Mohamed Hamad,Q112325275,Minister of Communications and Information Technology,2010-06-16,2011-12-27,Q112325802-8AAC34E7-9269-473D-8874-A802ECB4C102
Q112792335,Ali Ahmed Osman,Q112796392,State Minister at the Ministry of Petroleum,2010-06-15,2011-12-07,Q112792335-C3BB91B3-0DF1-4695-9B74-E5153BEBA2AC
Q112796403,Abbas Guma’a Obeidalla,Q112792606,State Minister at the Ministry of Agriculture,2010-06-15,2011-12-07,Q112796403-66470F83-92EB-4A7C-A504-6E74F7D9E05F
Q112796404,Abdul Wahid Yousuf Ibrahim,Q112796557,State Minister at the Ministry of Mining,2010-06-15,2011-12-07,Q112796404-701B9000-F42B-4E66-A723-4546BFADA5F5
