item,itemLabel,position,positionLabel,startDate,endDate,psid
Q112796405,Aboush Ajoke Ako,Q112792273,State Minister at the Ministry of International Cooperation,2010-06-15,2011-12-07,Q112796405-20AB5B15-6718-438C-9A6B-B7CB4194466E
Q112796406,Abu Al-Gasim Imam Mohammed Al-Haj,Q112796582,State Minister at the Ministry of Youth and Sport,2010-06-15,2011-12-07,Q112796406-6D720477-28B0-4925-9992-F6EFD3036F97
Q112796407,Adel Awad Salman,Q112796572,State Minister at the Ministry of Social Welfare and Insurance,2010-06-15,2011-12-07,Q112796407-8FE54F01-4FCF-4515-853E-9AB79F402B2E
Q112796408,Ahmed Karamano Ahmed,Q112796595,State Minister at the Council of Ministers,2010-06-15,2011-12-07,Q112796408-39AA250B-AFF5-4FC7-B622-A366FA8B5C73
Q112796410,Al-Fateh Ali Sideeg,Q112792629,State Minister at the Ministry of Finance and National Economy,2010-06-15,2011-12-07,Q112796410-CE9277E0-F7D4-4CB1-80AD-9539E66C66A5
Q112796411,Al-Sadiq Mohammed Ali Al-Sheikh,Q112796497,State Minister at Ministry of Electricity and Dams,2010-06-15,2011-12-07,Q112796411-2C5CF8A1-4221-4150-8E17-64C4BA53791F
Q112796412,Al-Sadiq Mohammed Ali Hassab Al-Rasool,Q112792661,State Minister at the Ministry of Investment,2010-06-15,2011-12-07,Q112796412-51E15E70-34E6-4F80-8F7A-511122D6D684
Q112796413,Al-Samani Al-Wasilla Al-Sheikh,Q112796534,State Minister at the Ministry of Human Resources Development,2010-06-15,2011-12-07,Q112796413-5DDC4412-8820-4452-BBC1-52C421168876
Q112796414,Ali Majouk Al-Momin,Q112792612,State Minister at the Ministry of Culture,2010-06-15,2011-12-07,Q112796414-2155085A-3778-4EF9-8F78-4E591A358172
Q112796416,Amin Hassan Omer,Q112792777,State Minister at the Presidency,2010-06-15,2011-12-07,Q112796416-822EFAA1-5C63-4ED4-A8B1-1A2F3DD6B10F
Q112796417,Amna Salih Dirar,Q112792672,State Minister at the Ministry of Labor,2010-06-15,2011-12-07,Q112796417-4697D22D-506B-4EB2-8A6C-5B01EE934ECE
Q112796418,Angelo Atak,Q112792236,State Minister at the Ministry of Animal Resources and Fishery,2010-06-15,2011-12-07,Q112796418-C984DADA-4223-4F36-81DE-873E4E72B146
Q112796419,Fadl Abdullah Fadl,Q112792636,State Minister at the Ministry of Foreign Trade,2010-06-15,2011-12-07,Q112796419-82EA033D-3808-4119-95F7-DCE1BB31BC69
Q112796420,Fadwa Shuwai Deng,Q112792614,"State Minister at the Ministry of Environment,Forests and Urban Development",2010-06-15,2011-12-07,Q112796420-E984CA86-B40F-4CB0-BFAE-96D09FD53557
Q112796421,Faisal Hamad Abdullah,Q112792793,State Minister at the Ministry of Transport,2010-06-15,2011-12-07,Q112796421-8D02C9E3-2BFB-4DC7-81BC-A276D1A8EDD9
Q112796422,Grece Datero,Q112792636,State Minister at the Ministry of Foreign Affairs,2010-06-15,2011-12-07,Q112796422-FC014E5B-4D8C-4F15-9F91-B81EC80AA623
Q112796424,Hamid Mahmood Al-Wakil,Q112796561,State Minister at the Ministry of Roads and Bridges,2010-06-15,2011-12-07,Q112796424-B8FC9DEC-54C5-4B78-BEBF-505670D23F6B
Q112796425,Hassab Al-Rasool Babiker,Q112792652,State Minister at the Ministry of Health,2010-06-15,2011-12-07,Q112796425-ABA1F3F7-6691-46BD-B0CC-3A46487B5543
Q112796426,Idris Mohamed Abdul Gadir,Q112792777,State Minister at the Presidency,2010-06-15,2011-12-07,Q112796426-82C02D4D-C625-4A1F-9C0C-7DCF436109C2
Q112796428,Ismail Khamis Galab,Q112792236,State Minister at the Ministry of Animal Resources and Fishery,2010-06-15,2011-12-07,Q112796428-0682A604-1173-49D1-890F-28D55D84CFC1
Q112796429,Kamal Hassan Ali,Q112792636,State Minister at the Ministry of Foreign Affairs,2010-06-15,2011-12-07,Q112796429-196D423A-7411-4788-8CF4-00D326F3E0A9
Q112796430,Khalil Abdulla,Q112796524,State Minister at the Ministry of Guidance,2010-06-15,2011-12-07,Q112796430-5B8D96F1-1647-4379-B439-F0F1F2F72DFB
Q112796431,Khamis Kajouh Kindah,Q112792655,State Minister at the Ministry of Higher Education and Scientific Research,2010-06-15,2011-12-07,Q112796431-F22D324D-D140-4005-BE43-23FD7908CFCB
Q112796432,Kong Der Gat Luk,Q112792660,State Minister at the Ministry of Interior,2010-06-15,2011-12-07,Q112796432-D87A0A47-055A-4D34-B4E0-E9B56C74565D
Q112796434,Mabrouk Mubarak Salem,Q112792614,"State Minister at the Ministry of Environment,Forests and Urban Development",2010-06-15,2011-12-07,Q112796434-79233704-B2BB-40A6-A6D3-9EE3D2781A81
Q112796435,Marial Awour,Q112792629,State Minister at the Ministry of Finance and National Economy,2010-06-15,2011-12-07,Q112796435-E882A6A3-A0F9-4F23-A2C6-5C9E78B59E24
Q112796436,Mohamed Ali Al-Haj Alloba,Q112792606,State Minister at the Ministry of Agriculture,2010-06-15,2011-12-07,Q112796436-BB04C1F8-9292-4EB9-952C-C2D2071492F0
Q112796437,Mohamed Mukhtar Hassan Hussein,Q112796595,State Minister at the Council of Ministers,2010-06-15,2011-12-07,Q112796437-6ACE251A-72C9-45A0-BDE8-32934E84A0D8
Q112796438,Mohammed Abu Zaid Mustafa,Q112796507,"State Minister at the Ministry of Antiquities,Tourism and Wildlife",2010-06-15,2011-12-07,Q112796438-9BFB8778-816F-4BB6-A70D-B9DCBD21AC6D
Q112796439,Mutrif Sideeg,Q112792270,State Minister at the Ministry of Humanitarian Affairs,2010-06-15,2011-12-07,Q112796439-2D48F89F-243B-4919-8142-C3BE6EDC16CE
Q112796440,Paul Lwal Wang,Q112792666,State Minister at the Ministry of Justice,2010-06-15,2011-12-07,Q112796440-57C5DA2E-98AE-4F88-A50D-A64AB0EE1EE2
Q112796442,Paul Marial Dot,Q112792656,State Minister at the Ministry of Industry,2010-06-15,2011-12-07,Q112796442-8964684C-7BDF-4253-9612-4DE5805BEC98
Q112796443,Salah Yousuf,Q112792802,State Minister at the Ministry of Irrigation and Water Resources,2010-06-15,2011-12-07,Q112796443-A9D078B6-FE0A-4BBE-A6DA-8A7356293EEB
Q112796444,Sami Yasin Abdul Dayem,Q112796567,State Minister at the Ministry of Sciences and Technology,2010-06-15,2011-12-07,Q112796444-85EEE5A0-AA44-4B8F-AFFE-F78929EC4804
Q112796446,Sana Hamad Al-Awad,Q112792658,State Minister at the Ministry of Information,2010-06-15,2011-12-07,Q112796446-ABAB55D8-37CC-4B08-846C-535FCC509574
Q112796447,Sua’ad Abdul Raziq,Q112796518,State Minister at the Ministry of General Education,2010-06-15,2011-12-07,Q112796447-E2D411DC-3E7E-4FDE-AFE5-874626D72F90
Q112796449,Teresa Siresio Eru,Q112796508,State Minister at the Ministry of Communications and Information Technology,2010-06-15,2011-12-07,Q112796449-7B15C0B8-882C-4312-A403-7D5BA85FDC91
Q112796450,Weik Mamer Kwal,Q112792777,State Minister at the Presidency,2010-06-15,2011-12-07,Q112796450-5B557868-7CCF-43AB-B373-C48A21234605
Q112796451,Yahiya Hussein Babiker,Q112792273,State Minister at the Ministry of International Cooperation,2010-06-15,2011-12-07,Q112796451-FD7CA3B8-27EC-4AC3-BDC0-7D16EA4E5348
Q11995405,Peter Adok Neyaba,Q111192544,Minister of Higher Education and Scientific Research,2008-09-14,2011-12-27,Q11995405-D7D51FC3-6AD8-4AF1-A295-B88C6A78CBB6
Q12228166,Ali Ahmed Karti,Q109984815,Minister of Foreign Affairs,2010-06-16,2015-06-07,Q12228166-D3AA220E-E94D-4998-A7D6-91AB2DF69C3D
Q15700032,Bakri Hassan Salih,Q112325306,Minister of presidential affairs,2005-09-21,2013-12-08,Q15700032-11A4D5A1-39F3-4C4C-B9AE-6BB78DF6D8B5
Q19605286,Alhaj Adam Yousef,Q7925069,Vice President of Sudan,2011-09-13,2013-12-07,Q19605286-20348AAF-D566-4C55-9390-918C4F0167C4
Q57265,Omar al-Bashir,Q14948193,President of Sudan,1989-06-30,2019-04-11,Q57265-60477ef0-44e4-de94-5eaf-49dc3a29ee5f
Q57315,Salva Kiir Mayardit,Q7925069,Vice President of Sudan,2005-08-11,2011-07-09,Q57315-3A6D6A7E-9F7D-4355-AC7C-B816CEC32FB5
Q5984644,Ibrahim Mahmood Hamid,Q112325292,Minister of Interior,2008-02-13,2013-12-08,Q5984644-AE69BAAD-F41A-439E-A97C-FD961F44B9B0
Q937264,Ali Osman Taha,Q7925069,Vice President of Sudan,2005-07-09,2011-09-13,Q937264-243A9344-F574-4DD2-AF24-5000C3ED1C15
Q937264,Ali Osman Taha,Q7925069,Vice President of Sudan,2011-09-13,2013-12-06,Q937264-47E17F14-DB61-48CB-8A43-74699ACAD309
