@@,itemlabel,positionlabel,startdate,enddate,item
---,Alhaj Adam Yousef,Vice President of Sudan,2011-09-13,2013-12-07,Q19605286
---,Ali Osman Taha,Vice President of Sudan,2011-09-13,2013-12-06,Q937264
---,Ali Osman Taha,Vice President of Sudan,2005-07-09,2011-09-13,Q937264
---,Omar al-Bashir,President of Sudan,1989-06-30,2019-04-11,Q57265
---,Salva Kiir Mayardit,Vice President of Sudan,2005-08-11,2011-07-09,Q57315
