item,itemLabel,startDate,endDate,title
Q937264,Ali Osman Taha,1998-02,2005-01-09,First Vice President
Q167444,John Garang,2005-01-09,2005-07-30,First Vice President
Q57315,Salva Kiir Mayardit,2005-08-11,2011-07-09,First Vice President
Q937264,Ali Osman Taha,2011-09-13,2013-12-06,First Vice President
Q15700032,Bakri Hassan Saleh,2013-12-07,2019-02-23,First Vice President
Q22949078,Ahmed Awad Ibn Auf,2019-02-23,2019-04-11,First Vice President
,Kamal Abdel-Marouf al-Mahi,2019-04-11,2019-04-13,Deputy Chairman of the Transitional Military Council
Q63145660,Mohamed Hamdan Dagalo,2019-04-13,2019-08-21,Deputy Chairman of the Transitional Military Council
Q63145660,Mohamed Hamdan Dagalo,2019-08-21,2021-10-24,Deputy Chairman of the Sovereignty Council
Q23540905,George Kongor Arop,1994-02,2000-10,Second Vice President
Q23541055,Moses Kacoul Machar,2001-02,2005-01,Second Vice President
Q937264,Ali Osman Taha,2005-07-09,2011-09-13,Second Vice President
Q19605286,Alhaj Adam Yousef,2011-09-13,2013-12-07,Second Vice President
Q16127041,Hassabu Mohamed Abdalrahman,2013-12-07,2018-09-10,Second Vice President
Q2161477,Osman Kebir,2018-09-10,2019-04-11,Second Vice President
