@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
---,Q63145660,Mohamed Hamdan Daglo,Q112315913,Deputy Chairman of the Sovereignty Council,2019-08-21,2021-10-24,Q63145660-54379309-A3D0-4C39-9F03-720164230F9B
---,Q27654948,Abdalla Hamdok,Q30100623,Prime Minister of Sudan,2019-08-21,2021-10-25,Q27654948-270e7996-4b95-4727-b044-606ef021bb42
---,Q27654948,Abdalla Hamdok,Q30100623,Prime Minister of Sudan,2021-11-21,2022-01-02,Q27654948-114AED0E-6F6A-4D9D-ACD6-359DE374D7F9
---,Q112797488,Hazim Diab,Q112797489,Minister of State for Infrastructure,2020-01-21,,Q112797488-25719236-C953-4EF7-9FEC-39CC2109A5EF
---,Q112797485,Stephen Amin,Q112792672,Minister of State for Labour,2020-01-21,,Q112797485-65359356-0234-4B92-B6CB-E4C136476E40
---,Q112797483,Omer Gamar Eldin Ismail,Q112792739,Minister of State for Foreign Trade,2020-01-21,,Q112797483-38D30340-7F31-41C6-AB4B-5D73668DCCDA
---,Q110629734,Osman Hussein Osman,Q30100623,Prime Minister of Sudan,2022-01-19,,Q110629734-20EB8039-CE6A-4405-81DA-170728F774AD
+++,Q27654948,Abdalla Hamdok,,Prime Minister,2019-08-21,2022-01-02,
