item,itemLabel,position,positionLabel,startDate,endDate
Q27654948,Abdalla Hamdok,,Prime Minister,2019-08-21,2022-01-02
Q67201470,Asma Mohamed Abdalla,,Minister of Foreign Affairs,2019-09-08,2020-07-09
Q7090105,Omer Ismail,,Minister of Foreign Affairs,2020-07-09,2021-02-09
Q92098489,Mariam al-Mahdi,,Minister of Foreign Affairs,2021-02-09,
,Ibrahim Elbadawi,,Minister of Finance and Economy,2019-09-08,2020-07-09
,Hiba Mohammed Ali,,Minister of Finance and Economy,2020-07-09,2021-02-09
Q20635399,Gibril Ibrahim,,Minister of Finance and Economy,2021-02-09,
,Akram Ali Altom,,Minister of Health,2019-09-08,2020-07-09
,Sara Abdelazeem,,Minister of Health,2020-07-09,2021-02-09
,Omar El Najeeb,,Minister of Health,2021-02-09,
,Mohammed el-Amin el-Tom,,Minister of Education,2019-09-08,
,Madani Abbas Madani,,Minister of Industry and Trade,2019-09-08,2021-02-09
,Ibrahim El Sheikh,,Minister of Industry and Trade,2021-02-09,
,Adel Ibrahim,,Minister of Energy and Oil,2019-09-08,2020-07-09
,Khairy Abdel Rahman,,Minister of Energy and Oil,2020-07-09,2021-02-09
,Jaden Ali,,Minister of Energy and Oil,2021-02-09,
,Yasser Abbas Mohamed Ali,,Minister of Irrigation and Water Resources,2019-09-08,
,Issa Osman Sharif,,Minister of Agriculture and Natural Resources,2019-09-08,2020-07-09
,Abdelgadir Turkawi,,Minister of Agriculture and Natural Resources,2020-07-09,2021-02-09
,Taher Harbi,,Minister of Agriculture and Natural Resources,2021-02-09,
,Alam al-Din Abdallah Abashar,,Minister of Livestock and Fisheries,2019-10-15,2020-07-09
,Adil Idris,,Minister of Livestock and Fisheries,2020-07-09,2021-02-09
,Hafez Nabi,,Minister of Livestock and Fisheries,2021-02-09,
,Hashim Tahir Sheikh Taha,,Minister of Infrastructure and Transport,2019-10-15,2020-07-09
,Hashim Ibn Auf,,Minister of Infrastructure and Transport,2020-07-09,2021-02-09
,Mirghani Mousa,,Minister of Infrastructure and Transport,2021-02-09,
Q67222756,Lena el-Sheikh Mahjoub,,Minister of Labour and Administrative Reform,2019-09-08,2021-02-09
Q105943401,Taysir El Nourani,,Minister of Labour and Administrative Reform,2021-02-09,
Q80189081,Nasreldin Abdelbari,,Minister of Justice,2019-09-09,
Q67163842,Wala'a Essam al-Boushi,,Minister of Youth and Sports,2019-09-08,2021-02-09
,Yousef El Dai,,Minister of Youth and Sports,2021-02-09,
,Omar Munis,,Minister of Cabinet Affairs,2019-09-08,2021-02-09
,Khaled Omar,,Minister of Cabinet Affairs,2021-02-09,
,Youssef Adam Aldai,,Minister of Federal Government,2019-09-08,2021-02-09
,Butheina Dinar,,Minister of Federal Government,2021-02-09,
Q5431080,Faisal Mohamed Saleh,,Minister of Culture and Information,2019-09-08,2021-02-09
,Hamza Baloul,,Minister of Culture and Information,2021-02-09,
Q67162677,Intisar el-Zein Soughayroun,,Minister of Higher Education,2019-09-08,
,Nasr al-Din Mufreh,,Minister of Religious Affairs,2019-09-08,
Q88511256,Jamal Aldin Omar,,Minister of Defence,2019-09-08,2020-03-25
,Yassin Ibrahim Yassin,,Minister of Defence,2020-06-02,
,Idriss al-Traifi,,Minister of Interior,2019-09-08,2021-02-09
,Ezzeldin El Sheikh,,Minister of Interior,2021-02-09,
,Jamal Abdelmajeed,,General Intelligence Service,2020-01-16,
,Hashem Hasabelrasoul,,Minister of Communications and Digital Transformation,2021-02-09,
,Mohamed Ibrahim,,Minister of Investment and International Cooperation,2021-02-09,
,Mohamed Abunumou,,Minister of Mining,2021-02-09,
,Mutasim Ahmed Saleh,,Minister of Social Development,2021-02-09,
,Ali Jido,,Minister of Trade,2021-02-09,
