@@,itemlabel,positionlabel,startdate,enddate,item
---,Abd al-Basit Sabdirat,Minister of Federal Government,2005-09-21,2007-12-26,Q112325535
+++,Abdallah Ali Masar,Special Advisor,,,
+++,Abdel Basit Saleh Sabdarat,Minister of federal government,,,
+++,Abdel Rahim Mohammed Hussein,Minister of defence,,,
---,Abdel Rahmi Mohamed Hussein,Minister of Defence,2005-09-21,2015-06-07,Q112325545
+++,Abdelkader Mohammed Zein,Minister of state for culture and youth,,,
---,Ahmad Babiker Nahar,Minister of Environment,2005-09-21,2007-12-26,Q112325566
+++,Ahmed Ali Imam,Special Advisor,,,
+++,Ahmed Babkir Nahar,Minister of environment and urban development,,,
+++,Ahmed Bilal Osman,Special Advisor,,,
+++,Ahmed Mohammed Harun,Minister of state for humanitarian affairs,,,
+++,Ahmed al-Majzub,Minister of state for finance,,,
+++,Al-Samih Sadeq,Minister of state for investment,,,
+++,Al-Tigani Saleh Fedail,Minister of international cooperation,,,
+++,Al-Tijani Saleh Hudeib,Minister of international cooperation,,,
---,Al-Tijani Salih Fudayl,Minister of International Cooperation,2005-09-21,2010-06-16,Q112325581
---,Al-Zubair Ahmed Al-Hassan,Minister of Finance and Economy,2002-05-07,2008-02-13,Q106661767
+++,Ali Ahmed Kerti,Minister of state for foreign affairs,,,
+++,Ali Ahmed Osman,Minister of state for industry,,,
+++,Ali Mohammed Abdel Rassul,Minister of state for finance,,,
->,Ali Osman Taha,Vice President of Sudan->Second Vice President,2005-07-09,2011-09-13,Q937264
+++,Ali Tamim Fartak,Special Advisor,,,
+++,Alio Abini Alio,Minister of state for interior,,,
->,Alison Manani Magaya,Minister of Human Resources->Minister of labour and human resources,2005-09-21,2007-12-26,Q112325588
+++,Ann Iko,Minister of state for agriculture and forestry,,,
---,Awad Ahmad al-Jaz,Minister of Energy and Mining,1995-08-12,2008-02-13,Q112325592
+++,Awad Ahmed al-Jaz,Minister of energy and mining,,,
->,Azhari Al-Tigani Awad al-Sid,Minister of Religious Affairs->Minister of religious affairs and waqf,2005-09-21,2011-12-27,Q112325596
->,Bakri Hassan Saleh,Minister of Presidential Affairs->Minister of the presidency,2005-09-21,2013-12-08,Q15700032
+++,Barnaba Marial Benjamin,Minister of state for international cooperation,,,
+++,Bona Malawal,Special Advisor,,,
+++,Daniel Akot,Minister of state for animal resources,,,
+++,Deng Alor Kol,Minister of cabinet affairs,,,
---,Deng Alor Kuol,Minister of Cabinet Affairs,2005-09-21,2007-12-26,Q5256910
