@@,itemlabel,positionlabel,startdate,enddate,item
---,El Zubair Bashir Taha,Minister of Interior,2005-09-21,2008-02-13,Q112325623
+++,Farah Ibrahim Agar,Minister of state for information,,,
+++,Farida Ibrahim Ahmed Hussein,Special Advisor,,,
+++,Fateh Mohammed Said,Minister of state for health,,,
+++,Galwak Deng,Minister of animal resources,,,
---,Galwak Deng Garang,Minister of Animal Resources,2005-09-21,2008-02-13,Q112325631
->,George Boreng Niyami,Minister of External Trade->Minister of foreign trade,2005-09-21,2007-12-26,Q112325632
+++,Ghazi Salaheddin al-Attabani,Special Advisor,,,
+++,Harun Ron Lual,Special Advisor,,,
+++,Idris Mohammed Abdel Kader,Minister of state for the presidency,,,
---,Jalal Yusuf Muhammad al-Duqayrt,Minister of Industry,2002-11-30,2010-06-16,Q112325661
+++,Jalal al-Dugair,Minister of industry,,,
+++,John Angol,Minister of state for federal government,,,
+++,John Luk Jok,Minister of state for energy and mining,,,
->,Josef Malwal,Minister of Tourism->Minister of tourism,2005-09-21,2010-06-16,Q112325663
->,Joseph Okelo,Minister of Relations with the Parliament->Minister of parliamentary affairs,2005-09-21,2010-06-16,Q112325666
+++,Kamal Abdel Latif,Minister of state for cabinet affairs,,,
->,Kamal Ali Mohammed,Minister of Irrigation and Water Resources->Minister of water resources,1999-03-06,2011-12-27,Q112325668
---,Kosti Manibe,Minister of Humanitarian Affairs,2005-09-21,2007-12-26,Q112325675
+++,Kosti Manili,Minister of humanitarian affairs,,,
->,Kuwal Maniang Ajok,Minister of Transport->Minister of transport,2005-09-21,2007-12-26,Q112325676
+++,Lam Akol,Minister of foreign affairs,,,
---,Lily Albino Akol Akol,Minister of Foreign Affairs,2005-09-21,2007-12-26,Q50379451
+++,Luwal Ashweil Deng,Minister of state for finance,,,
---,Mahdi Ibrahim,Minister of Information,2005-09-21,2007-12-26,Q112325682
+++,Majzoub al-Khalifa,Special Advisor,,,
->,Malek Agar Ayar,Minister of Investment->Minister of investment,2005-09-21,2007-12-26,Q112325715
+++,Mansour Khaled,Special Advisor,,,
+++,Mayom Koj Malika,Minister of state for water resources,,,
+++,Mohammed Abu Zeid Mustafa,Minister of state for culture and youth,,,
+++,Mohammed Ahmed Abu Kalabish,Minister of state for culture and youth,,,
->,Mohammed Ali al-Mardi,Minister of Justice->Minister of justice,2005-09-21,2008-02-13,Q112325731
+++,Mohammed Merkazu Kok,Minister of state for environment,,,
->,Mohammed Yusuf Abdallah,"Minister of Culture->Minister of culture,youth and sport",2005-09-21,2010-06-16,Q112325736
+++,Mohammed Yusuf Mustafa,Minister of state for labour,,,
+++,Mohammed al-Amin Issa Kabashi,Minister of agriculture and forestry,,,
---,Mohammed al-Amin Issa Kabbashi,Minister of Agriculture,2005-09-21,2008-02-13,Q112325738
+++,Mubarak Majzub Mohammed,Minister of state for higher education,,,
+++,Mustafa Osman Ismail,Special Advisor,,,
---,Nafi Ali Nafi,Minister of Presidential Affairs,2005-09-21,2010-06-16,Q112325748
+++,Nafie Ali Nafie,Assistant to the president,,,
+++,Omar Suleiman,Minister of state for transport,,,
---,Omar al-Bashir,President of Sudan,1989-06-30,2019-04-11,Q57265
+++,Omar al-Beshir,President,,,
->,Paul Mithanq,Minister of Education->Minister of education,2005-09-21,2007-12-26,Q112325754
->,Peter Niyot Kok,Minister of Higher Education and Scientific Research->Minister of higher education,2005-09-21,2007-12-26,Q112325755
+++,Riak Gai Kok,Special Advisor,,,
+++,Saleh Ali Adam,Minister of state for higher education,,,
+++,Salman Suleiman al-Safi,Minister of state for foreign trade,,,
+++,Salva Kiir,First Vice President,,,
---,Salva Kiir Mayardit,Vice President of Sudan,2005-08-11,2011-07-09,Q57315
+++,Samani al-Wasila al-Sheikh,Minister of state for foreign affairs,,,
+++,Sami Yassin Abdel Dayem,Minister of state for social affairs,,,
->,Tabita Sokaya,Minister of Health of Sudan->Minister of health,2005-09-21,2010-06-16,Q112325797
+++,Telar Reng Deng,Minister of state for the presidency,,,
+++,Teresa Eyru,Minister of state for environment,,,
+++,Timothy Atut Ajuk,Minister of state for industry,,,
+++,William Ajak Deng,Minister of state for justice,,,
+++,Zahawi Ibrahim Malek,Minister of information,,,
+++,Zubeir Beshir Taha,Minister of interior,,,
+++,Zubeir Mohammed Hassan,Minister of finance,,,
