name,id,found,desc
Abdalrahman Said,Q112325544,Abdalrahman Said,politician in Sudan
Abdel Basit Saleh Sabdarat,Q112325535,Abd al-Basit Sabdirat,politician in Sudan
Abdelrahman Hassan Abdelrahman Hashim,Q112790233,Abdelrahman Hassan Abdelrahman Hashim,Sudanese banker
Ahmad Babikir Nahar,Q112325566,Ahmad Babiker Nahar,politician in Sudan
Akec Khoc Aciew Khoc,Q112686062,Akec Khoc Aciew Khoc,politician in South Sudan
Al Haj Adam Yousif,Q19605286,Alhaj Adam Yousef,politician
Al Tayyib Hassan Badawi,Q112325580,Al-Tayyib Hassan Badawi,politician in Sudan
Al Tijani Saleh Hudeib,Q112325581,Al-Tijani Salih Fudayl,politician in Sudan
Ali Osman Mohammed Taha,Q937264,Ali Osman Taha,Sudanese politician
Alison Manani Magaya,Q112325588,Alison Manani Magaya,politician in Sudan
Awad Ahmad Al Jaz,Q112325592,Awad Ahmad al-Jaz,politician in Sudan
Azhari Al Tigani Awad Al Sid,Q112325596,Azhari Al-Tigani Awad al-Sid,politician in Sudan
Bahar Idris Abu Garda,Q112325599,Bahr Idris Abu Garda,politician in Sudan
Bakri Hassan Salih,Q15700032,Bakri Hassan Saleh,Sudanese politician
Deng Alor Kuol,Q5256910,Deng Alor Kuol,Minister of Foreign Affairs in the Cabinet of South Sudan
Faisal Hassan Ibrahim,Q112325628,Faisal Hassan Ibrahim,politician in Sudan
Farah Mustafa Abdalla,Q112325629,Farah Mustafa Abdallah,politician in Sudan
Galwak Deng,Q112325631,Galwak Deng Garang,politician in Sudan
George Boreng Niyami,Q112325632,George Boreng Niyami,politician in Sudan
Halima Hassaballa Al Naeem,Q112325639,Halima Hassaballa Al-Naeem,politician in Sudan
Harun Ron Lual,Q112792351,Harun Ron Lual,politician in Sudan
Ibrahim Mahmoud Hamid,Q5984644,Ibrahim Mahmoud Hamad,Sudanese Governor of Kassala State and Minister of the Interior
Ibrahim Suleiman,Q112325655,Ibrahim Suleiman Hassan,politician in Sudan
Isam Ahmad Al Bashir,Q112325658,Isam Ahmad al-Bashir,politician in Sudan
Jalal Al Dugair,Q112325661,Jalal Yusuf Muhammad al-Duqayrt,politician in Sudan
Joseph Lual Achuil,Q112712513,Joseph Lual Achuil,politician in South Sudan
Joseph Malwal,Q112325663,Josef Malwal,politician in Sudan
Kamal Ali Mohammed,Q112325668,Kamal Ali Mohammed,politician in Sudan
Kosti Manibe,Q112325675,Kosti Manibe,politician in Sudan
Lam Akol,Q1364583,Lam Akol,South Sudanese politician
Mahdi Ibrahim,Q112325682,Mahdi Ibrahim,politician in Sudan
Martin Malwal Arop,Q112325718,Martin Malwal Arop,politician in Sudan
Michael Makuei Lueth,Q6832462,Michael Makue Loweth,Minister for Parliamentary Affairs in the Cabinet of South Sudan
Minni Arkou Minnawi,Q1937445,Minni Minnawi,Sudanese leader
Mohammed Abu Zaid Mustafa,Q112325725,Mohamed Abu Zaid Mustafa,politician in Sudan
Mohammed Abu Zeid,Q112792364,Mohammed Abu Zeid Mustafa,politician in Sudan
Mohammed Al Amin Issa Kabashi,Q112325738,Mohammed al-Amin Issa Kabbashi,politician in Sudan
Mohammed Ali Al Mardi,Q112325731,Mohammed Ali al-Mardi,politician in Sudan
Mohammed Tahir Eila,Q48728938,Mohamed Tahir Ayala,politician
Moses Kacoul Machar,Q23541055,Moses Kacoul Machar,politician in Sudan
Mubarak Al Fadil Al Mahdi,Q6930870,Mubarak al Fadil al Mahdi,Sudanese politician
Mustafa Osman Ismail,Q6943310,Mustafa Osman Ismail,Sudanese politician
Nafie Ali Nafie,Q112325748,Nafi Ali Nafi,politician in Sudan
Osman Abdalla,Q94973727,Sitona Abdalla Osman,South Sudanese diplomat
Philip Thon Lik,Q112325756,Philip Thon Leek,politician in Sudan
Riak Gai,Q16204805,Riek Gai Kok,politician in South Sudan
Sammani Al Cheikh Al Waseilah,Q112325571,Al Sammani al-Cheikh al-Waseilah,politician in Sudan
Tayyar Abdallah Ali Safi Al Nur,Q112325799,Tayyar Abdallah Ali Safi al-Nur,politician in Sudan
Umar Hasan Ahmad Al Bashir,Q57265,Omar al-Bashir,7th President of Sudan
Zahawi Ibrahim Malek,Q112325682,Mahdi Ibrahim,politician in Sudan
Zubeir Bashir Taha,Q112325623,El Zubair Bashir Taha,politician in Sudan
Zubeir Mohammed Hassan,Q106661767,Al-Zubair Ahmed Al-Hassan,Sudanese politician
