@@,item,itemlabel,position,positionlabel,start,end
---,Q112325588,Alison Manani Magaya,Q112325321,Works and Administrative Reform,2001-02-23,2005-09-21
---,Q112325589,Altayeb Ibrahim Mohammed Khair,Q112325310,Social Planning,1998-03-09,2000-01-24
+++,,Amira Al Fadil Mohammed Ahmad,,Min. Of Welfare & Social Insurance,2010,2013
---,Q112325590,Amira Al-Fadil Mohamed Al-Fadil,Q112325320,Welfare and Social Security,2010-06-16,2013-12-08
+++,,Ammar Mirghani Hussayn,,Min. Of Guidance & Endowments,2016,2016
---,Q112325591,Asia Mohamed Abdalla,Q112325279,Education,2017-05-12,2018-09-09
---,Q67201470,Asma Mohamed Abdalla,Q109984815,Minister of Foreign Affairs,2019-09-08,2020-07-09
+++,,Awad Ahmad Al Jaz,,Min. Of Energy & Mining,2000,2007
+++,,Awad Ahmad Al Jaz,,Min. Of Finance & National Economy,2008,2009
+++,,Awad Ahmad Al Jaz,,Min. Of Industry,2010,2011
+++,,Awad Ahmad Al Jaz,,Min. Of Petroleum,2012,2013
---,Q112325592,Awad Ahmad al-Jaz,Q112325281,Energy and Mining,1995-08-12,2008-02-13
---,Q112325592,Awad Ahmad al-Jaz,Q105926147,Finance,2008-02-13,2010-06-16
---,Q112325592,Awad Ahmad al-Jaz,Q112325290,Industry,2010-06-16,2011-12-27
---,Q112325592,Awad Ahmad al-Jaz,Q112325303,Petroleum,2011-12-27,2013-12-08
+++,,Awad Al Hassan Al Nour,,Min. Of Justice & Prosecutor Gen.,2015,2016
+++,,Awad Al Karim Ahmad Mohammed Ibn Auf,,Min. Of Defense,2016,2016
---,Q112325594,Awad al-Hassan al-Nur,Q112325297,Justice,2015-06-07,2017-05-12
---,Q112325595,Azhari Abd-al-Qadir Abdalla,Q112325303,"Petroleum, Gas, and Minerals",2018-05-14,2019-03-13
+++,,Azhari Al Tigani Awad Al Sid,,Min. Of Guidance & Religious Endowments,2010,2011
+++,,Azhari Al Tigani Awad Al Sid,,Min. Of Religious Affairs & Waqf,2006,2011
---,Q112325596,Azhari Al-Tigani Awad al-Sid,Q112325308,Religious Affairs,2005-09-21,2011-12-27
---,Q112325597,Badereldien Mahmoud,Q105926147,Finance,2013-12-08,2017-05-12
+++,,Badr Al Din Mahmoud Hamid Abbas,,Min. Of Finance & Economic Planning,2015,2016
+++,,Badr Al Din Mahmoud Hamid Abbas,,Min. Of Finance & National Economy,2014,2014
---,Q112325598,Badr Eddin Mohammed Ahmed Suleiman,Q112325290,Industry,1995-02-09,2000-01-24
+++,,Bahar Idris Abu Garda,,Min. Of Health,2012,2016
---,Q112325599,Bahr Idris Abu Garda,Q112325286,Health,2011-12-27,2018-09-09
---,Q112325599,Bahr Idris Abu Garda,Q112325292,Interior,2019-03-13,2019-04-11
---,Q112325599,Bahr Idris Abu Garda,Q112325298,"Labour, Administrative Reform, and Human Development",2018-09-09,2019-03-13
---,Q15700032,Bakri Hassan Saleh,Q85851442,Defence,2000-07-10,2005-09-21
---,Q15700032,Bakri Hassan Saleh,Q112325306,Presidential Affairs,1998-03-09,2000-07-10
---,Q15700032,Bakri Hassan Saleh,Q112325306,Presidential Affairs,2005-09-21,2013-12-08
---,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2013-12-08,2017-03-01
---,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2013-12-07,2019-02-23
---,Q15700032,Bakri Hassan Saleh,Q30100623,Vice-President and Prime Minister,2017-03-02,2018-09-10
+++,,Bakri Hassan Salih,,First Vice President,2014,2016
+++,,Bakri Hassan Salih,,Min. For Presidential Affairs,2000,2000
+++,,Bakri Hassan Salih,,Min. Of Defense,2001,2005
+++,,Bakri Hassan Salih,,Min. Of Presidential Affairs,2012,2013
+++,,Bakri Hassan Salih,,Min. Of The Presidency,2006,2011
---,Q112325600,Barakat Musa al-Hawati,Q112325284,Federal Government,2019-03-13,2019-04-11
---,Q112325618,Bushara Aru,Q112325270,Animal Resources,2017-05-12,2018-09-09
---,Q112325618,Bushara Aru,Q112325291,"Information, Communications and Information Technology",2018-09-09,2019-04-11
---,Q112325619,Chamboul Adlane,Q112325273,Aviation,2000-07-10,2001-02-23
+++,,Chol Deng,,State Min. Of External Relations,2001,2002
->,Q112325620,Chol Ram Pang,Q112325317,Transport->Min. Of Transportation,2010-06-16->2010,2011-12-27->2011
+++,,Daffa Alla Al Haj Ali Osman,,"Permanent Representative To The Un, New York",2011,2013
+++,,Dak Dob Bishop,,Min. Of Labor,2010,2011
---,Q112325621,Dak Dop Pishop,Q112325298,Labour,2010-06-16,2011-12-27
---,Q5256910,Deng Alor Kuol,Q109984815,Foreign Affairs,2007-12-26,2010-06-16
+++,,Deng Alor Kuol,,Min. Of Cabinet Affairs,2006,2007
+++,,Deng Alor Kuol,,Min. Of Foreign Affairs,2008,2009
---,Q5256910,Deng Alor Kuol,Q112325274,Minister of Cabinet Affairs,2005-09-21,2007-12-26
---,Q112325622,Eissa Bushra Mohamed,Q111192637,Science and Communications,2012-07-09,2013-12-08
---,Q112325622,Eissa Bushra Mohamed,Q111192637,Science and Technology,2010-06-16,2012-07-09
+++,,Eissa Bushra Mohammed,,Min. Of Science & Communications,2013,2013
+++,,Eissa Bushra Mohammed,,Min. Of Science & Technology,2010,2012
+++,,El Fatih Mohammed Ahmad Erwa,,"Permanent Representative To The Un, New York",2000,2006
---,Q112325623,El Zubair Bashir Taha,Q112325266,Agriculture and Forests,2008-02-13,2010-06-16
---,Q112325623,El Zubair Bashir Taha,Q111192544,Higher Education and Scientific Research,2000-01-24,2001-02-23
---,Q112325623,El Zubair Bashir Taha,Q112325292,Interior,2005-09-21,2008-02-13
---,Q112325623,El Zubair Bashir Taha,Q111192637,Scientific Research and Technology,2001-02-23,2005-09-21
---,Q112325624,Elias Neyama Lel,Q112325283,External Trade,2010-06-16,2011-12-27
+++,,Elias Nyammlel Wakoson,,Min. Of Foreign Trade,2010,2011
---,Q112325625,Esmat Abdel-Rahman,Q112325292,Interior,2014-06-25,2017-05-12
+++,,Fadl Abdallah,,Min. Of Presidential Affairs,2016,2016
---,Q112325627,Fadul Abdallah,Q112325306,Presidential Affairs,2017-05-12,2019-04-11
---,Q112325628,Faisal Hassan Ibrahim,Q112325270,Animal Resources and Fishing,2010-06-16,2015-06-07
---,Q112325628,Faisal Hassan Ibrahim,Q112325284,Federal Government,2015-06-07,2018-09-09
+++,,Faisal Hassan Ibrahim,,Min. At Decentralization Bureau,2015,2016
+++,,Faisal Hassan Ibrahim,,Min. Of Animal Resources & Fisheries,2010,2014
---,Q5431080,Faisal Saleh,Q112325276,Minister of Culture,2019-09-08,2021-02-09
+++,,Farah Mustafa Abdalla,,Min. Of Federal Governance,2014,2014
+++,,Farah Mustafa Abdalla,,Min. Of General Education,2010,2011
+++,,Farah Mustafa Abdalla,,Min. Of Labor,2012,2013
---,Q112325629,Farah Mustafa Abdallah,Q112325279,Education,2010-06-16,2011-12-27
---,Q112325629,Farah Mustafa Abdallah,Q112325284,Federal Government,2013-12-08,2015-06-07
---,Q112325629,Farah Mustafa Abdallah,Q112325298,Labour,2011-12-27,2012-07-09
+++,,Fatahelraman Ali Mohammed,,"Charge D'affaires, Embassy, Washington",2011,2015
---,Q112325630,Fatih Taj-al-Sir Abdalla,Q112325308,Religious Affairs,2013-01-15,2017-05-12
---,Q112325630,Fatih Taj-al-Sir Abdalla,Q112325322,Youth and Sports,2011-12-27,2013-01-15
+++,,Galwak Deng,Q112325270,Min. Of Animal & Fish Resources,2005,2007
---,Q112325631,Galwak Deng Garang,Q112325270,Animal Resources,2005-09-21,2008-02-13
---,Q112325631,Galwak Deng Garang,Q112325272,Architectural Development and Studies,1996-04-21,2000-01-24
---,Q112325632,George Boreng Niyami,Q112325283,External Trade,2005-09-21,2007-12-26
---,Q112325632,George Boreng Niyami,Q111192544,Higher Education and Scientific Research,2007-12-26,2008-09-14
---,Q112325632,George Boreng Niyami,Q112325294,Investment,2008-09-14,2011-12-27
+++,,George Boreng Niyami,,Min. Of Foreign Trade,2006,2007
+++,,George Boreng Niyami,,Min. Of Higher Education,2008,2009
+++,,George Boreng Niyami,,Min. Of Investment,2009,2011
->,Q23540905,George Kongor Arop,Q7925069,Vice-President->Second Vice President,1995-08-12->2000,2000-10-14->2000
+++,,Ghazi Al Sadiq Abdel Rahim,,Min. Of Guidance & Religious Endowments,2013,2013
+++,,Ghazi Al Sadiq Abdel Rahim,,Min. Of Information,2012,2012
+++,,Ghazi Salahaddin,,Min. Of Information & Culture,2000,2000
+++,,Ghazi Salahaddin,,Presidential Adviser For Peace Affairs,2001,2005
---,Q12229359,Ghazi Salahedine Atabanai,Q112325275,Communications and Information,2001-02-23,2001-06-14
---,Q12229359,Ghazi Salahedine Atabanai,Q112325276,Culture and Information,1998-03-09,2001-02-23
---,Q112325635,Ghazi al-Sidiq Abdul-Rahim,Q112325271,"Antiquities, Tourism and Wildlife",2011-12-27,2012-07-09
---,Q112325635,Ghazi al-Sidiq Abdul-Rahim,Q112325308,Religious Affairs,2012-07-09,2012-08-19
---,Q112325636,Gutbi el Mahdi,Q112325311,Social Welfare,2000-01-24,2001-02-23
+++,,Hag Majid Swar,,Min. Of Youth & Sports,2010,2011
---,Q112325637,Haider Galakumah,Q112325322,Youth and Sports,2015-06-07,2017-05-12
---,Q112325638,Haj Majid Suwar,Q112325322,Youth and Sports,2010-06-16,2011-12-27
+++,,Halima Hassaballa Al Naeem,,Min. Of Parliamentary Affairs,2010,2011
---,Q112325639,Halima Hassaballa Al-Naeem,Q112325307,Relations with the Parliament,2010-06-16,2011-12-27
---,Q112325640,Hamid Mannan,Q112325292,Interior,2017-05-12,2018-05-14
---,Q112325641,Hamid Mohamed Ali Torine,Q112325302,National Education,1999-03-06,2000-01-24
+++,,Hamid Mohammed Ali Torin,,Min. Of Education,2000,2000
+++,,Hamid Mohammed Ibrahim,,Min. Of General Education,2006,2009
---,Q112325642,Hamid Moussa Kacha,Q112325266,Agriculture,2000-07-10,2001-02-23
---,Q112325643,Hamid Muhammad Ibrahim,Q112325279,Education,2007-12-26,2010-06-16
---,Q112325644,Hamid Muhammad al-Nur Ahmad Mumtaz,Q112325284,Federal Government,2018-09-09,2019-03-13
---,Q112325644,Hamid Muhammad al-Nur Ahmad Mumtaz,Q112325290,Industry and Trade,2019-03-13,2019-04-11
+++,,Harun Ron Lual,,Min. Of Humanitarian Affairs,2008,2009
---,Q112325645,Harun Run Lual,Q112325289,Humanitarian Affairs,2007-12-26,2010-06-16
---,Q112325646,Hasab-al-Nabi Musa Ahmed,Q112325266,Agriculture,2018-09-09,2019-03-13
+++,,Hasabu Mohammed Abdel Rahim,,"Head, Federal Bureau For Decentralization",2013,2013
+++,,Hasabu Mohammed Abdel Rahim,,"Min. Of Antiquities, Tourism & Wildlife",2012,2012
+++,,Hasabu Mohammed Abdel Rahim,,Second Vice President,2014,2016
---,Q112325647,Hasan Uthman Rizq,Q112325322,Youth and Sports,2001-02-23,2005-09-21
---,Q112325648,Hashim Mohamed Salim,Q112325300,Minerals,2017-05-12,2018-05-14
---,Q112325648,Hashim Mohamed Salim,Q112325274,Minister of Cabinet Affairs,2018-05-14,2018-09-09
