id,itemLabel,position,positionLabel,start,end,dob,dod,gender
,Mahdi Ibrahim Mahammad,,Ambassador To The Us,2000,2000,,,male
,Ali Al Haj Mohammed,,Assistant President Chmn. Bureau Of Federal Rule,2005,2005,,,male
,Ibrahim Ahmad Omer,,Assistant To The President,2000,2002,,,male
Q6930870,Mubarak Al Fadil Al Mahdi,,Assistant To The President,2003,2004,,,male
Q112325748,Nafie Ali Nafie,,Assistant To The President,2006,2013,,,male
,Ibrahim Ahmad Abd Al Aziz Ghandour,,Assistant To The President,2014,2014,,,male
,Mohammed Uthman Al Mirghani,,Assistant To The President,2015,2016,,,male
,Ali Mohammed Osman Yassin,,Attorney General,2000,2016,,,male
,John Ukec Leuth,,"Charge D'affaires, Embassy, Washington",2007,2008,,,male
Q112686062,Akec Khoc Aciew Khoc,,"Charge D'affaires, Embassy, Washington",2009,2010,,,male
,Fatahelraman Ali Mohammed,,"Charge D'affaires, Embassy, Washington",2011,2015,,,male
,NA,,"Charge D'affaires, Embassy, Washington",2016,2016,,,
,Khidir Haroun,,"Charge D'affaires, Washington, Dc",2001,2006,,,male
,Ali Al Haj Mohammed,,Chmn. Bureau Of Federal Rule,2000,2004,,,male
Q937264,Ali Osman Mohammed Taha,,First Vice President,2000,2005,,,male
,Salva Kiir Mayardit,,First Vice President,2006,2011,,,male
Q937264,Ali Osman Mohammed Taha,,First Vice President,2012,2013,,,male
Q15700032,Bakri Hassan Salih,,First Vice President,2014,2016,,,male
,Abdalla Hassan Ahmad,,"Governor, Bank Of Sudan",2000,2000,,,male
,Mohammed Al Hasan Sabir,,"Governor, Central Bank Of Sudan",2001,2011,,,male
,Mohammed Khair Ahmad Al Zubair,,"Governor, Central Bank Of Sudan",2012,2014,,,male
Q112790233,Abdelrahman Hassan Abdelrahman Hashim,,"Governor, Central Bank Of Sudan",2015,2016,,,male
,Hasabu Mohammed Abdel Rahim,,"Head, Federal Bureau For Decentralization",2013,2013,,,male
Q112325628,Faisal Hassan Ibrahim,,Min. At Decentralization Bureau,2015,2016,,,male
,Al Hadi Abdallah Mohammed Al Awad,,Min. At The Cabinet,2005,2005,,,male
Q112325718,Martin Malwal Arop,,Min. At The Cabinet,2005,2005,,,male
Q15700032,Bakri Hassan Salih,,Min. For Presidential Affairs,2000,2000,,,male
,Abdel Haleem Ismail Al Mutaafi,Q112325266,Min. Of Agriculture,2010,2012,,,male
Q112325738,Mohammed Al Amin Issa Kabashi,Q112325266,Min. Of Agriculture & Forestry,2006,2007,,,male
Q112325623,Zubeir Bashir Taha,Q112325266,Min. Of Agriculture & Forestry,2008,2009,,,male
,Ibrahim Adam Ahmad Al Dukhairi,Q112325266,Min. Of Agriculture & Forestry,2015,2016,,,male
,NA,Q112325266,Min. Of Agriculture & Forests,2000,2000,,,
,Magzoub Al Khalifa,Q112325266,Min. Of Agriculture & Forests,2001,2005,,,male
,Abdel Haleem Ismail Al Mutaafi,Q112325266,Min. Of Agriculture & Irrigation,2013,2013,,,male
Q5984644,Ibrahim Mahmoud Hamid,Q112325266,Min. Of Agriculture & Irrigation,2014,2014,,,male
Q112325631,Galwak Deng,Q112325270,Min. Of Animal & Fish Resources,2005,2007,,,male
,Mohammed Ahmad Al Tahir Abu Kalabish,Q112325270,Min. Of Animal & Fish Resources,2008,2009,,,male
Q16204805,Riak Gai,Q112325270,Min. Of Animal Resources,2001,2004,,,male
,Musa Tibin Musa,Q112325270,Min. Of Animal Resources,2015,2016,,,male
Q112325628,Faisal Hassan Ibrahim,,Min. Of Animal Resources & Fisheries,2010,2014,,,male
Q112325566,Ahmad Babikir Nahar,,"Min. Of Antiquities, Tourism & Wildlife",2010,2011,,,male
,Hasabu Mohammed Abdel Rahim,,"Min. Of Antiquities, Tourism & Wildlife",2012,2012,,,male
,Mohammed Abdul Kareem Al Hadd,,"Min. Of Antiquities, Tourism & Wildlife",2013,2014,,,male
Q112325725,Mohammed Abu Zaid Mustafa,,"Min. Of Antiquities, Tourism & Wildlife",2015,2016,,,male
Q112325663,Joseph Malwal,,Min. Of Aviation,2005,2005,,,male
,NA,,Min. Of Cabinet Affairs,2000,2000,,,
Q112325718,Martin Malwal Arop,,Min. Of Cabinet Affairs,2001,2002,,,male
Q112325799,Tayyar Abdallah Ali Safi Al Nur,,Min. Of Cabinet Affairs,2003,2005,,,male
Q5256910,Deng Alor Kuol,,Min. Of Cabinet Affairs,2006,2007,,,male
,Pagan Amum Okiech,,Min. Of Cabinet Affairs,2008,2008,,,male
Q112325675,Kosti Manibe,,Min. Of Cabinet Affairs,2009,2009,,,male
,Luka Biong Deng,,Min. Of Cabinet Affairs,2010,2011,,,male
,Ahmad Saad Omar Khidir,,Min. Of Cabinet Affairs,2012,2013,,,male
Q112325655,Ibrahim Suleiman,,Min. Of Civil Aviation,2000,2000,,,male
Q112325663,Joseph Malwal,,Min. Of Civil Aviation,2001,2004,,,male
,Osman Omer Al Sharif,,Min. Of Commerce,2014,2014,,,male
,Tahani Abdallah Atia,,Min. Of Communication & Information Technology,2015,2016,,,female
,Yahiya Abdallah Mohammed Hamad,,Min. Of Communications,2010,2011,,,male
,Mohammed Abdul Kareem Al Hadd,,Min. Of Communications,2012,2013,,,male
Q48728938,Mohammed Tahir Eila,,Min. Of Communications & Roads,2000,2004,,,male
,Ahmad Saad Omar Khidir,,Min. Of Council Of Ministers,2014,2016,,,male
,Abdel Basset Abdel Majid,,Min. Of Culture,2003,2005,,,male
,Al Samawal Khalaf Allah Al Quraish,,Min. Of Culture,2010,2012,,,male
,Ahmad Bilal Osman,,Min. Of Culture & Information,2013,2013,,,male
Q112325580,Al Tayyib Hassan Badawi,,Min. Of Culture & Information,2014,2016,,,male
,Mohammed Yusuf Abdallah,,"Min. Of Culture, Youth & Sport",2006,2009,,,male
,Abdelrahman Sir Al Khatim,,Min. Of Defense,2000,2000,,,male
Q15700032,Bakri Hassan Salih,,Min. Of Defense,2001,2005,,,male
,Abdul Rahim Mohammed Hussein,,Min. Of Defense,2006,2014,,,male
,Awad Al Karim Ahmad Mohammed Ibn Auf,,Min. Of Defense,2016,2016,,,male
,Mustafa Osman Al Obeid Salim,,Min. Of Defense (Acting),2015,2015,,,male
,Hamid Mohammed Ali Torin,,Min. Of Education,2000,2000,,,male
,Ali Temim Fartak,,Min. Of Education,2001,2002,,,male
Q112325566,Ahmad Babikir Nahar,,Min. Of Education,2003,2005,,,male
,Ali Temim Fartak,,Min. Of Electricity,2003,2005,,,male
,Osma Abdalla Mohammed El Hassan,,Min. Of Electricity & Dams,2010,2012,,,male
Q112325592,Awad Ahmad Al Jaz,,Min. Of Energy & Mining,2000,2007,,,male
,Al Zubayr Ahmad Al Hasan,,Min. Of Energy & Mining,2008,2009,,,male
Q112325566,Ahmad Babikir Nahar,,Min. Of Environment & Urban Development,2006,2009,,,male
,Al Tigani Adam Al Tahir,,Min. Of Environment & Urban Planning,2001,2005,,,male
,Joseph Mulwal Dong,,"Min. Of Environment, Forestry & Urban Development",2010,2011,,,male
,Hassan Abdel Qader Hilal,,"Min. Of Environment, Forestry & Urban Development",2012,2014,,,male
,Hassan Abdel Qader Hilal,,"Min. Of Environment, Natural Resources & Urban Development",2015,2016,,,male
Q6943310,Mustafa Osman Ismail,,Min. Of External Relations,2001,2005,,,male
,Makki Ali Balayel,,Min. Of External Trade,2000,2000,,,male
,Abd Al Hameed Musa Kasha,,Min. Of External Trade,2001,2005,,,male
Q112325629,Farah Mustafa Abdalla,,Min. Of Federal Governance,2014,2014,,,male
Q112325535,Abdel Basit Saleh Sabdarat,,Min. Of Federal Government,2006,2006,,,male
Q112325535,Abdel Basit Saleh Sabdarat,,Min. Of Federal Govt.,2007,2007,,,male
Q112325544,Abdalrahman Said,,Min. Of Federal Govt.,2008,2012,,,male
,Ahmad Ibrahim Attahir,,Min. Of Federal Relations,2000,2000,,,male
Q112325655,Ibrahim Suleiman,,Min. Of Federal Relations,2001,2005,,,male
Q112325748,Nafie Ali Nafie,,Min. Of Federal Rule,2001,2005,,,male
,Badr Al Din Mahmoud Hamid Abbas,,Min. Of Finance & Economic Planning,2015,2016,,,male
,Mohammed Khair Ahmad Al Zubair,,Min. Of Finance & National Economy,2000,2000,,,male
,Abd Al Rahim Hamdi,,Min. Of Finance & National Economy,2001,2001,,,male
,Al Zubayr Ahmad Al Hasan,,Min. Of Finance & National Economy,2006,2007,,,male
Q112325592,Awad Ahmad Al Jaz,,Min. Of Finance & National Economy,2008,2009,,,male
,Ali Mahmoud Abdel Rasoul,,Min. Of Finance & National Economy,2010,2013,,,male
,Badr Al Din Mahmoud Hamid Abbas,,Min. Of Finance & National Economy,2014,2014,,,male
,Ahmad Hassan Al Zubeir,,Min. Of Finance & Planning,2002,2005,,,male
Q106661767,Zubeir Mohammed Hassan,,Min. Of Finance & Planning,2006,2009,,,male
Q6943310,Mustafa Osman Ismail,,Min. Of Foreign Affairs,2000,2005,,,male
Q1364583,Lam Akol,,Min. Of Foreign Affairs,2006,2007,,,male
Q5256910,Deng Alor Kuol,,Min. Of Foreign Affairs,2008,2009,,,male
,Mohammed Ali Ahmad Karti,,Min. Of Foreign Affairs,2010,2014,,,male
,Ibrahim Ahmad Abd Al Aziz Ghandour,,Min. Of Foreign Affairs,2015,2016,,,male
Q112325632,George Boreng Niyami,,Min. Of Foreign Trade,2006,2007,,,male
,James Kok Rew,,Min. Of Foreign Trade,2008,2009,,,male
,Elias Nyammlel Wakoson,,Min. Of Foreign Trade,2010,2011,,,male
,Osman Omer Al Sharif,,Min. Of Foreign Trade,2012,2013,,,male
,Hamid Mohammed Ibrahim,,Min. Of General Education,2006,2009,,,male
Q112325629,Farah Mustafa Abdalla,,Min. Of General Education,2010,2011,,,male
,Suad Abdel Raziq Mohammed Sayeed,,Min. Of General Education,2012,2016,,,female
,Al Fatih Taj Al Sir Abdullah,,Min. Of Guidance & Endowments,2015,2015,,,male
,Ammar Mirghani Hussayn,,Min. Of Guidance & Endowments,2016,2016,,,male
Q112325596,Azhari Al Tigani Awad Al Sid,,Min. Of Guidance & Religious Endowments,2010,2011,,,male
,Khalil Abdullah,,Min. Of Guidance & Religious Endowments,2012,2012,,,male
,Ghazi Al Sadiq Abdel Rahim,,Min. Of Guidance & Religious Endowments,2013,2013,,,male
,Al Fatih Taj Al Sir Abdullah,,Min. Of Guidance & Religious Endowments,2014,2014,,,male
,Issam Ahmad Al Bashir,,Min. Of Guidance & Waqfs,2005,2005,,,male
,Abu Al Qasim Mohammed Ibrahim,,Min. Of Health,2000,2000,,,male
,Ahmad Ballal,,Min. Of Health,2001,2005,,,male
,Thabisa Shokaya,,Min. Of Health,2006,2009,,,male
,Abdalla Teya Guma,,Min. Of Health,2010,2011,,,male
Q112325599,Bahar Idris Abu Garda,,Min. Of Health,2012,2016,,,male
