id,itemLabel,position,positionLabel,start,end,dob,dod,gender
,Mubarak Magzoub,,Min. Of Higher Education,2001,2005,,,male
,Peter Niyot Kok,,Min. Of Higher Education,2006,2007,,,male
Q112325632,George Boreng Niyami,,Min. Of Higher Education,2008,2009,,,male
,Peter Adwok Nyaba,,Min. Of Higher Education,2010,2011,,,male
Q112325623,Zubeir Bashir Taha,,Min. Of Higher Education & Scientific Research,2000,2000,,,male
,Khames Kajo Kundah,,Min. Of Higher Education & Scientific Research,2012,2013,,,male
,Sumia Mohammed Ahmad Abu Kashawa,,Min. Of Higher Education & Scientific Research,2014,2016,,,female
,Kamal Abdel Latif Abdel Rahim,,Min. Of Human Resources,2010,2011,,,male
,Abdeen Mohammed Sharif,,Min. Of Human Resources,2012,2012,,,male
,Al Sadiq Al Hadi Abdel Rahman Al Mahadi,,Min. Of Human Resources Development,2015,2016,,,male
,Ishraqa Sayeed Mahmoud,,"Min. Of Human Resources, Development & Labor",2013,2014,,,female
Q5984644,Ibrahim Mahmoud Hamid,,Min. Of Humanitarian Affairs,2003,2005,,,male
Q112325675,Kosti Manibe,,Min. Of Humanitarian Affairs,2006,2007,,,male
Q112792351,Harun Ron Lual,,Min. Of Humanitarian Affairs,2008,2009,,,male
Q112712513,Joseph Lual Achuil,,Min. Of Humanitarian Affairs,2010,2011,,,male
,Abdal Halim Al Mutaafi,,Min. Of Industry,2000,2002,,,male
Q112325661,Jalal Al Dugair,,Min. Of Industry,2003,2009,,,male
Q112325592,Awad Ahmad Al Jaz,,Min. Of Industry,2010,2011,,,male
,Abdel Wahab Mohammed Osman,,Min. Of Industry,2012,2013,,,male
,Al Samih Al Sadiq Al Noor,,Min. Of Industry,2014,2014,,,male
,Mohammed Yousif Ali Yousif,,Min. Of Industry,2015,2016,,,male
Q112325661,Jalal Al Dugair,,Min. Of Industry & Investment,2001,2002,,,male
,Kamal Mohammed Obied,,Min. Of Information,2010,2011,,,male
,Ghazi Al Sadiq Abdel Rahim,,Min. Of Information,2012,2012,,,male
,Ahmad Bilal Osman,,Min. Of Information,2015,2016,,,male
Q112325682,Mahdi Ibrahim,,Min. Of Information & Communication,2001,2002,,,male
Q112325682,Zahawi Ibrahim Malek,,Min. Of Information & Communication,2003,2004,,,male
Q112325535,Abdel Basit Saleh Sabdarat,,Min. Of Information & Communication,2005,2005,,,male
Q112325682,Zahawi Ibrahim Malek,,Min. Of Information & Communication,2006,2009,,,male
,Ghazi Salahaddin,,Min. Of Information & Culture,2000,2000,,,male
,Abdul Rahim Mohammed Hussein,,Min. Of Interior,2000,2005,,,male
Q112325623,Zubeir Bashir Taha,,Min. Of Interior,2006,2007,,,male
Q5984644,Ibrahim Mahmoud Hamid,,Min. Of Interior,2008,2013,,,male
,Abdel Wahid Youssef Ibrahim,,Min. Of Interior,2014,2014,,,male
,Ismat Abdel Rahman Zain Al Abdin,,Min. Of Interior,2015,2016,,,male
,Siddiq Al Sharif Al Hindi,,Min. Of International Cooperation,2001,2002,,,male
,Yusuf Suleiman Takana,,Min. Of International Cooperation,2003,2005,,,male
Q112325581,Al Tijani Saleh Hudeib,,Min. Of International Cooperation,2006,2006,,,male
,Kamaladdin Hassan Ali,,Min. Of International Cooperation,2015,2016,,,male
,NA,,Min. Of International Cooperation & Investment,2000,2000,,,
Q112325581,Al Tijani Saleh Hudeib,,Min. Of Intl. Cooperation,2007,2009,,,male
Q112325661,Jalal Al Dugair,,Min. Of Intl. Cooperation,2010,2011,,,male
,Ishraqa Sayeed Mahmoud,,Min. Of Intl. Cooperation,2012,2012,,,female
,Al Sherif Ahmad Omar Badr,,Min. Of Investment,2003,2005,,,male
,Malik Agar Ayar,,Min. Of Investment,2006,2007,,,male
Q112325675,Kosti Manibe,,Min. Of Investment,2008,2008,,,male
Q112325632,George Boreng Niyami,,Min. Of Investment,2009,2011,,,male
Q6943310,Mustafa Osman Ismail,,Min. Of Investment,2014,2014,,,male
,Mudathir Abdelghani Abdel Rahman,,Min. Of Investment,2015,2016,,,male
Q112325668,Kamal Ali Mohammed,,Min. Of Irrigation,2000,2004,,,male
Q112325668,Kamal Ali Mohammed,,Min. Of Irrigation & Water Resources,2005,2005,,,male
Q112325668,Kamal Ali Mohammed,,Min. Of Irrigation & Water Resources,2010,2011,,,male
,Saif Al Din Hamed Abdallah,,Min. Of Irrigation & Water Resources,2012,2012,,,male
,Ali Mohammed Osman Yassin,,Min. Of Justice,2000,2002,,,male
Q112325731,Mohammed Ali Al Mardi,,Min. Of Justice & Prosecutor Gen.,2007,2007,,,male
Q112325535,Abdel Basit Saleh Sabdarat,,Min. Of Justice & Prosecutor Gen.,2008,2009,,,male
,Mohammed Boshara Dosa,,Min. Of Justice & Prosecutor Gen.,2010,2014,,,male
,Awad Al Hassan Al Nour,,Min. Of Justice & Prosecutor Gen.,2015,2016,,,male
,Ali Mohammed Osman Yassin,,Min. Of Justice & Prosecutor General,2003,2005,,,male
Q112325731,Mohammed Ali Al Mardi,,Min. Of Justice & Prosecutor General,2006,2006,,,male
Q112325588,Alison Manani Magaya,,Min. Of Labor,2001,2005,,,male
,Dak Dob Bishop,,Min. Of Labor,2010,2011,,,male
Q112325629,Farah Mustafa Abdalla,,Min. Of Labor,2012,2013,,,male
Q112325566,Ahmad Babikir Nahar,,Min. Of Labor,2015,2016,,,male
Q112325588,Alison Manani Magaya,,Min. Of Labor & Human Resources,2006,2009,,,male
Q6832462,Michael Makuei Lueth,,Min. Of Legal Affairs,2009,2011,,,male
Q112325588,Alison Manani Magaya,,Min. Of Manpower,2000,2005,,,male
,Abdel Bagi Al Gailani,,Min. Of Minerals,2010,2011,,,male
,Kamal Abdel Latif Abdel Rahim,,Min. Of Minerals,2012,2013,,,male
,Ahmad Mohammed Mohammed Al Karouri,,Min. Of Minerals,2014,2014,,,male
,Sadiq Ahmad Al Karouri,,Min. Of Minerals,2015,2016,,,male
,Josheph Okelo,,Min. Of Parliamentary Affairs,2006,2009,,,male
Q112325639,Halima Hassaballa Al Naeem,,Min. Of Parliamentary Affairs,2010,2011,,,female
Q112325535,Abdel Basit Saleh Sabdarat,,Min. Of Parliamentary Relations,2001,2005,,,male
,Lual Achwel Deng,,Min. Of Petroleum,2010,2011,,,male
Q112325592,Awad Ahmad Al Jaz,,Min. Of Petroleum,2012,2013,,,male
,Makhawi Mohammed Awad,,Min. Of Petroleum,2014,2014,,,male
,Mohammed Zayid Awad,,Min. Of Petroleum & Gas,2015,2016,,,male
,Salah Ahmad Mohammed Salih,,Min. Of Presidential Affairs,2001,2004,,,male
,Al Tayeb Ibrahim Mohammed Khair,,Min. Of Presidential Affairs,2005,2005,,,male
Q15700032,Bakri Hassan Salih,,Min. Of Presidential Affairs,2012,2013,,,male
,Salah Al Din Wanasi Mohammed Khayr,,Min. Of Presidential Affairs,2014,2015,,,male
,Fadl Abdallah,,Min. Of Presidential Affairs,2016,2016,,,male
,Khalil Abdullah,,Min. Of Religious Affairs,2012,2012,,,male
Q112325596,Azhari Al Tigani Awad Al Sid,,Min. Of Religious Affairs & Waqf,2006,2011,,,male
Q112325658,Isam Ahmad Al Bashir,,Min. Of Religious Endowment,2003,2005,,,male
Q112325658,Isam Ahmad Al Bashir,,Min. Of Religious Guidance & Endowment,2001,2002,,,male
,Mohammed Tahir Ailla,,Min. Of Roads,2001,2004,,,male
Q48728938,Mohammed Tahir Eila,,Min. Of Roads & Bridges,2005,2005,,,male
,Abdel Wahab Mohammed Osman,,Min. Of Roads & Bridges,2010,2011,,,male
,Eissa Bushra Mohammed,,Min. Of Science & Communications,2013,2013,,,male
,Tahani Abdallah Atia,,Min. Of Science & Communications,2014,2014,,,female
Q112325623,Zubeir Bashir Taha,,Min. Of Science & Technology,2001,2005,,,male
Q112325544,Abdalrahman Said,,Min. Of Science & Technology,2006,2007,,,male
,Ibrahim Ahmad Omer,,Min. Of Science & Technology,2008,2009,,,male
,Eissa Bushra Mohammed,,Min. Of Science & Technology,2010,2012,,,male
,Qutbi Al Mahdi,,Min. Of Social Planning,2000,2000,,,male
,Hassan Osman Riziq,,Min. Of Sports & Youth,2001,2005,,,male
Q112325663,Joseph Malwal,,Min. Of Survey,2000,2000,,,male
Q15700032,Bakri Hassan Salih,,Min. Of The Presidency,2006,2011,,,male
Q112325663,Joseph Malwal,,Min. Of Tourism,2006,2009,,,male
,Abd Al Basit Abd Al Magid,,Min. Of Tourism & Culture,2001,2002,,,male
,Al Tigani Adam Al Tahir,,Min. Of Tourism & Environment,2000,2000,,,male
,Abdel Jaleel Al Basha,,Min. Of Tourism & National Heritage,2003,2004,,,male
,Abdel Basset Abdel Majid,,Min. Of Tourism & National Heritage,2005,2005,,,male
,Mansour Yousif Al Ajab,,Min. Of Trade,2015,2016,,,male
Q1364583,Lam Akol,,Min. Of Transportation,2000,2002,,,male
Q112325571,Sammani Al Cheikh Al Waseilah,,Min. Of Transportation,2003,2005,,,male
,Kuol Manyang Ajok,,Min. Of Transportation,2006,2007,,,male
Q112325756,Philip Thon Lik,,Min. Of Transportation,2008,2009,,,male
,Chol Ram Pang,,Min. Of Transportation,2010,2011,,,male
Q112325566,Ahmad Babikir Nahar,,"Min. Of Transportation, Roads & Bridges",2012,2014,,,male
,Makhawi Mohammed Awad,,"Min. Of Transportation, Roads & Bridges",2015,2016,,,male
Q112325668,Kamal Ali Mohammed,,Min. Of Water Resources,2006,2009,,,male
,Osma Abdalla Mohammed El Hassan,,Min. Of Water Resources & Electricity,2013,2013,,,male
,Muataz Musa Abdallah Salem,,Min. Of Water Resources & Electricity,2014,2014,,,male
,Mutaz Mohammed Musa Salim,,"Min. Of Water Resources, Irrigation & Electricity",2015,2016,,,male
,Amira Al Fadil Mohammed Ahmad,,Min. Of Welfare & Social Insurance,2010,2013,,,female
,Samia Ahmad Mohammed,,Min. Of Welfare & Social Planning,2001,2005,,,female
,Masheir Mohammed Al Amin Abdallah,,Min. Of Welfare & Social Security,2014,2016,,,female
,Haydar Galukoma Al Dawalab,,Min. Of Youth & Sport,2015,2015,,,male
,Husayn Mohammed Hamdi,,Min. Of Youth & Sport,2016,2016,,,male
,Hag Majid Swar,,Min. Of Youth & Sports,2010,2011,,,male
,Al Fatih Taj Al Sir Abdullah,,Min. Of Youth & Sports,2012,2013,,,male
,Siddiq Mohammed Tawm Hammad Al Naier,,Min. Of Youth & Sports,2014,2014,,,male
,El Fatih Mohammed Ahmad Erwa,,"Permanent Representative To The Un, New York",2000,2006,,,male
,Abdalmahmood Abdalhaleem Mohamad,,"Permanent Representative To The Un, New York",2007,2010,,,male
,Daffa Alla Al Haj Ali Osman,,"Permanent Representative To The Un, New York",2011,2013,,,male
,NA,,"Permanent Representative To The Un, New York",2014,2015,,,
,Omer Dahab Fadl Mohammed,,"Permanent Representative To The Un, New York",2016,2016,,,male
Q112325535,Abdel Basit Saleh Sabdarat,,Political Adviser To The President,2000,2000,,,male
Q57265,Umar Hasan Ahmad Al Bashir,Q14948193,President,2000,2016,,,male
,Ali Hassan Taj Eddin,,Presidential Adviser For African Affairs,2003,2005,,,male
,Ghazi Salahaddin,,Presidential Adviser For Peace Affairs,2001,2005,,,male
,Qutbi Al Mahdi,,Presidential Adviser For Political Affairs,2001,2005,,,male
,Ahmad Ali Alimam,,Presidential Adviser For Religious Affairs,2001,2005,,,male
Q112325748,Nafie Ali Nafie,,Presidential Councilor For Peace Affairs,2000,2000,,,male
,Ahmad Ali Alimam,,Religious Adviser To The President,2000,2000,,,male
,Mohammed Al Amin Khalifa,,Sec. Of The Higher Council For Peace,2000,2005,,,male
,George Kongor Arop,,Second Vice President,2000,2000,,,male
Q23541055,Moses Kacoul Machar,,Second Vice President,2001,2005,,,male
Q19605286,Al Haj Adam Yousif,,Second Vice President,2012,2013,,,male
,Hasabu Mohammed Abdel Rahim,,Second Vice President,2014,2016,,,male
,Al Tayeb Ibrahim Mohammed Khair,,Security Adviser To The President,2000,2000,,,male
Q1937445,Minni Arkou Minnawi,,Senior Asst. To The President,2007,2010,,,male
,Abd Al Jabbar Hussein,,State Min. Of Agriculture,2001,2002,,,male
,Kamal Abd Al Latief,,State Min. Of Cabinet Affairs,2001,2002,,,male
,Mohammed Hassan Al Bahi,,State Min. Of Civil Aviation,2001,2002,,,male
,Siddiq Al Mugtaba,,State Min. Of Culture & Tourism,2001,2002,,,male
,NA,,State Min. Of Defense,2001,2002,,,
Q112792364,Mohammed Abu Zeid,,State Min. Of Education,2001,2002,,,male
,Al Tigani Al Fadil,,State Min. Of External Relations,2001,2002,,,male
,Chol Deng,,State Min. Of External Relations,2001,2002,,,male
,Mohammed Ahmad Al Fadul,,State Min. Of Federal Rule,2001,2002,,,male
,Sulieman Salman Al Safi,,State Min. Of Federal Rule,2001,2002,,,male
,Makwac Teny,,State Min. Of Federal Rule,2001,2002,,,male
,Al Zubayr Ahmad Al Hasan,,State Min. Of Finance,2001,2002,,,male
,Abdalla Sid Ahmad,,State Min. Of Health,2001,2002,,,male
,Ali Ahmad Osman,,State Min. Of Industry,2001,2002,,,male
,Al Tayeb Mustafa,,State Min. Of Information,2001,2002,,,male
,Ahmad Mohammed Al Aas,,State Min. Of Internal Affairs,2001,2002,,,male
,Adam Balouh,,State Min. Of International Cooperation,2001,2002,,,male
Q94973727,Osman Abdalla,,State Min. Of Irrigation,2001,2002,,,male
,Ali Ahmad Karti,,State Min. Of Justice,2001,2002,,,male
,Jamal Mohammed Hassan,,State Min. Of Science & Technology,2001,2002,,,male
,Hassan Musa Al Sheikh,,State Min. Of Transport,2001,2002,,,male
,Abd Al Gadir Mohammed Zein,,State Min. Of Youth & Sports,2001,2002,,,male
Q937264,Ali Osman Mohammed Taha,Q7925069,Vice President,2006,2011,,,male
