item,itemLabel,position,positionLabel,start,end,psid
Q100258784,Al -Cherif Ahmed Omar Badr,Q112325294,Investment,2002-11-30,2005-09-21,Q100258784-A9EE049C-27C0-4E33-9B56-C24E0A9340D7
Q106661767,Zubair Ahmed al-Hassan,Q112325281,Energy and Mining,2008-02-13,2010-06-16,Q106661767-156F9900-38EA-4722-B005-EB3FF2A3D911
Q106661767,Zubair Ahmed al-Hassan,Q105926147,Finance,2002-05-07,2008-02-13,Q106661767-3ECE3620-C1F8-41A3-9686-00434CDB97FC
Q111184176,Ibrahim Mohamed Omar,Q111192637,Science and Technology,2008-02-13,2010-06-16,Q111184176-64d893d8-4abf-ee7f-cc45-ee29efe346b6
Q112325535,Abd al-Basit Sabdirat,Q112325297,Justice,2008-02-13,2010-06-16,Q112325535-761D478B-F71A-43DF-AC5C-FCA45FA42D1B
Q112325535,Abd al-Basit Sabdirat,Q112325284,Federal Government,2005-09-21,2007-12-26,Q112325535-BD410D61-3BCF-472E-AEB9-3AA3840134D1
Q112325535,Abd al-Basit Sabdirat,Q112325307,Relations with the Parliament,2001-02-23,2005-09-21,Q112325535-BE233B95-9B1E-426E-9614-39390F106B8A
Q112325536,Abd al-Hamid Musa Kasha,Q112325283,External Trade,2001-02-23,2005-09-21,Q112325536-162FDB14-2F9C-495F-B35A-70D279E149AF
Q112325538,Abd-al-Rahman Sa’id Abd-al Rahman,Q111192637,Science and Technology,2007-12-26,2008-02-13,Q112325538-CC76F097-FE9D-4915-8F81-9E2EA17F7479
Q112325539,Abdalla Ali Masar,Q112325291,Information,2011-12-27,2012-04-30,Q112325539-476AABE0-CA2D-4AE4-A59D-1AD2C2B5ACE5
Q112325540,Abdalla Suleiman Abdala,Q112325266,Agriculture,2018-05-14,2018-09-09,Q112325540-6AC4EFCF-3B8E-4B36-B365-2A53ED3CA024
Q112325541,Abdalla Tiya Guma’a,Q112325286,Health,2010-06-16,2011-12-27,Q112325541-D4344C50-4562-4828-ACBD-CEDF56B48FBB
Q112325542,Abdallah Hassan Ahmed,Q112325293,International Cooperation and Investment,1998-03-09,2000-01-24,Q112325542-929146D7-FC30-4C72-A213-CE7E064F5C56
Q112325543,Abdallah Mohammed Sid Ahmed,Q112325268,Animal Health,2000-01-24,2001-02-23,Q112325543-CB7DBB34-803A-4EBA-AD98-E1BDEDCD9A5F
Q112325544,Abdalrahman Said,Q112325284,Federal Government,2007-12-26,2010-06-16,Q112325544-B2486E71-89B1-4572-80C8-68FB0CFFCD9A
Q112325546,Abdel Wahab Osmane,Q105926147,Finance and National Economy,1996-04-21,2000-01-24,Q112325546-D3AB1428-2AFE-45E8-8CF0-C05C9116A357
Q112325547,Abdel Wahid Yousif Ibrahim,Q112325292,Interior,2013-12-08,2014-06-25,Q112325547-75721570-63E4-4C86-96C0-1C47906B2F92
Q112325547,Abdel Wahid Yousif Ibrahim,Q112325309,Roads and Bridges,2014-06-25,2015-06-07,Q112325547-D9ED6F8B-F728-4A11-8ECB-3801F9B57884
Q112325549,Abdin Muhammad Sharif,Q112325288,Human Resources,2011-12-27,2012-07-09,Q112325549-D4FF9236-D7A6-4C7D-BAA8-B7EC669CD494
Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture and Tourism,2001-02-23,2002-08-19,Q112325550-64194BD8-1689-41F9-B810-D1D1702039BD
Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture,2002-08-19,2005-09-21,Q112325550-6FED5EAB-A32C-49EB-9525-25D5B06D31AD
