@@,itemlabel,positionlabel,startdate,enddate,item
---,Bakri Hassan Saleh,Vice President of Sudan,2013-12-08,2017-03-01,Q15700032
---,Bakri Hassan Saleh,Prime Minister of Sudan,2017-03-02,2018-09-10,Q15700032
---,Bakri Hassan Saleh,Vice President of Sudan,2013-12-07,2019-02-23,Q15700032
---,Hassabu Mohamed Abdalrahman,Vice President of Sudan,2013-12-07,2018-09-10,Q16127041
---,Mohamed Ahmed bin Awaf,Minister of Defence,2015-08-23,2019-02-23,Q112325727
---,Omar al-Bashir,President of Sudan,1989-06-30,2019-04-11,Q57265
