@@,item,itemlabel,position,positionlabel,startdate,enddate
---,Q22949078,Ahmed Awad Ibn Auf,Q7925069,Vice President of Sudan,2019-02-23,2019-04-11
->,Q19605286,Al-Haj Adam Yousif,Q7925069,Vice-President,2011-09-13,2013-12-07->2013-12-08
---,Q937264,Ali Osman Mohamed Taha,Q7925069,Vice-President,2005-07-09,2011-09-13
---,Q937264,Ali Osman Mohamed Taha,Q7925069,Vice-President,1998-02,2005-01-09
---,Q937264,Ali Osman Mohamed Taha,Q7925069,Vice-President,2011-09-13,2013-12-06
+++,Q112325586,Ali Osman Mohamed Taha,Q7925069,Vice-President,1998-02-12,2013-12-08
->,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2013-12-07->2013-12-08,2019-02-23->2017-03-01
---,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2013-12-08,2017-03-01
+++,Q15700032,Bakri Hassan Saleh,Q7925069,Vice-President,2018-09-09,2019-02-23
->,Q15700032,Bakri Hassan Saleh,Q30100623,Vice-President and Prime Minister,2017-03-02->2017-03-01,2018-09-10->2018-09-09
->,Q16127041,Hassabo Mohamed Abdel Rahman,Q7925069,Vice-President,2013-12-07->2013-12-08,2018-09-10->2018-09-09
->,Q167444,John Garang,Q7925069,Vice-President,2005-07-09,2005-07-30->2005-07-27
+++,Q57265,Lt-Gen Umar Hasan Ahmad al-Bashir,Q112325305,President and Prime Minister,2002-08-19,2019-04-11
->,Q48728938->Q112325734,Mohammed Tahir Ella,Q30100623,Prime Minister,2019-03-13,2019-04-11
->,Q48728938->Q112325734,Mohammed Tahir Ella,Q30100623,"Prime Minister, Finance, and Economic Planning",2019-02-23,2019-03-13
->,Q2161477,Osman Yusuf Kibir,Q7925069,Vice-President,2018-09-10->2018-09-09,2019-04-11->2019-03-13
