minister,country,startdate,enddate,position
Abd al-Basit Sabdirat,Sudan,2001-02-23,2005-09-21,Relations with the Parliament
Abd al-Basit Sabdirat,Sudan,2005-09-21,2007-12-26,Federal Government
Abd al-Basit Sabdirat,Sudan,2008-02-13,2010-06-16,Justice
Abd al-Hamid Musa Kasha,Sudan,2001-02-23,2005-09-21,External Trade
Abd-al-Rahman Sa’id Abd-al Rahman,Sudan,2007-12-26,2008-02-13,Science and Technology
Abdalla Ali Masar,Sudan,2011-12-27,2012-04-30,Information
Abdalla Suleiman Abdala,Sudan,2018-05-14,2018-09-09,Agriculture
Abdalla Tiya Guma’a,Sudan,2010-06-16,2011-12-27,Health
Abdallah Hamdok,Sudan,2018-09-09,2018-09-15,Finance and Economic Planning
Abdallah Hassan Ahmed,Sudan,1998-03-09,2000-01-24,International Cooperation and Investment
Abdallah Mohammed Sid Ahmed,Sudan,2000-01-24,2001-02-23,Animal Health
Abdalrahman Said,Sudan,2007-12-26,2010-06-16,Federal Government
Abdel Rahmi Mohamed Hussein,Sudan,1998-03-09,2000-07-10,Interior
Abdel Rahmi Mohamed Hussein,Sudan,2000-07-10,2001-02-23,Presidential Affairs
Abdel Rahmi Mohamed Hussein,Sudan,2001-02-23,2005-09-21,Interior
Abdel Rahmi Mohamed Hussein,Sudan,2005-09-21,2015-06-07,Defence
Abdel Wahab Osmane,Sudan,1996-04-21,2000-01-24,Finance and National Economy
Abdel Wahid Yousif Ibrahim,Sudan,2013-12-08,2014-06-25,Interior
Abdel Wahid Yousif Ibrahim,Sudan,2014-06-25,2015-06-07,Roads and Bridges
Abdin Muhammad Sharif,Sudan,2011-12-27,2012-07-09,Human Resources
Abdul Basit Abdulmajid,Sudan,2000-01-24,2001-02-23,National Education
Abdul Basit Abdulmajid,Sudan,2001-02-23,2002-08-19,Culture and Tourism
Abdul Basit Abdulmajid,Sudan,2002-08-19,2005-09-21,Culture
Abdul Rahim Mahmud Hamdi,Sudan,2001-02-23,2002-05-07,Finance
Abdul-Bagi Al-Gailani,Sudan,2010-06-16,2011-12-27,Minerals
Abdul-Halim Ismail al-Muaafi,Sudan,2000-01-24,2001-02-23,Industry
Abdul-Halim Ismail al-Muaafi,Sudan,2010-06-16,2011-12-27,Agriculture
Abdul-Halim Ismail al-Muaafi,Sudan,2011-12-27,2013-12-08,Agriculture and Irrigation
Abdul-Karim Musa,Sudan,2017-05-12,2018-05-14,Youth and Sports
Abdul-Latif Ahmed Mohamed Ujaimi,Sudan,2017-05-12,2018-05-14,Agriculture
Abdul-Rahman Osman Abdul-Rahman,Sudan,2017-05-12,2018-05-14,Petroleum and Gas
Abdul-Wahab Mohamed Osman,Sudan,2010-06-16,2011-12-27,Roads and Bridges
Abdul-Wahab Mohamed Osman,Sudan,2011-12-27,2013-12-08,Industry
Abdulrahman Sir el Khatim,Sudan,1999-03-06,2000-07-10,Defence
Abdulrahman Sir el Khatim,Sudan,2000-07-10,2001-02-23,Minister of Cabinet Affairs
Abu-Bakr Ahmed Abdul-Rahim,Sudan,2017-05-12,2018-05-14,Justice
Abu-Bakr Osman Ibrahim,Sudan,2017-05-12,2018-09-09,Religious Affairs
Abu-al-Bashir Abd-al-Rahman Yusuf,Sudan,2018-05-14,2018-09-09,Youth and Sports
Abul Gasim Mohamed Ibrahim,Sudan,1996-04-21,2000-01-24,Relations with the Parliament
Abul Gasim Mohamed Ibrahim,Sudan,2000-01-24,2001-02-23,Health
Adam Tahir Hamdoun,Sudan,1999-03-06,2000-01-24,External Trade
Agnes Loukoudo,Sudan,1998-03-09,2000-01-24,Manpower
Ahmad Babiker Nahar,Sudan,2002-08-19,2005-09-21,National Education and Guidance
Ahmad Babiker Nahar,Sudan,2005-09-21,2007-12-26,Environment and Construction Development
Ahmad Babiker Nahar,Sudan,2007-12-26,2010-06-16,Environment
Ahmad Babiker Nahar,Sudan,2010-06-16,2011-12-27,"Antiquities, Tourism and Wildlife"
Ahmad Babiker Nahar,Sudan,2011-12-27,2014-06-25,"Transport, Roads, and Bridges"
Ahmad Babiker Nahar,Sudan,2014-06-25,2015-06-07,Transport
Ahmad Babiker Nahar,Sudan,2015-06-07,2018-09-09,Labour and Administrative Reform
Ahmed Bilal Osman,Sudan,2001-02-23,2005-09-21,Health
Ahmed Bilal Osman,Sudan,2012-04-30,2012-07-09,Information
Ahmed Bilal Osman,Sudan,2012-07-09,2013-12-08,Culture and Information
Ahmed Bilal Osman,Sudan,2013-12-08,2018-09-09,Information
Ahmed Bilal Osman,Sudan,2018-09-09,2019-03-13,Interior
Ahmed Ibrahim Taher,Sudan,1998-03-09,2000-07-10,Federal Government
Ahmed Mohammed Saddiq al-Karrouri,Sudan,2013-12-08,2017-05-12,Mining
Ahmed Saad Omar Khidir,Sudan,2011-12-27,2018-05-14,Minister of Cabinet Affairs
Ahmed Saad Omar Khidir,Sudan,2018-09-09,2019-04-11,Minister of Cabinet Affairs
Al -Cherif Ahmed Omar Badr,Sudan,2002-11-30,2005-09-21,Investment
Al Sammani al-Cheikh al-Waseilah,Sudan,2002-11-30,2005-09-21,Transport
Al-Fatih Ali Sidiq,Sudan,2015-06-07,2017-05-12,International Cooperation
Al-Hadi Bouchra,Sudan,1996-04-21,2000-01-24,Roads and Telecommunications
Al-Hadi Muhammad Awad,Sudan,2001-02-23,2005-09-21,Minister of Cabinet Affairs
Al-Haj Adam Yousif,Sudan,2000-01-24,2000-07-10,Agriculture
Al-Haj Adam Yousif,Sudan,2011-09-13,2013-12-08,Vice-President
Al-Khair al-Nour al-Mubrak,Sudan,2019-03-13,2019-04-11,Education
Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Sudan,2015-06-07,2018-09-09,Human Resources
Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Sudan,2018-09-09,2019-03-13,Higher Education and Scientific Research
Al-Samawa’al Khalafalla Al-Quraish,Sudan,2010-06-16,2012-07-09,Culture
Al-Samual Khalfalla,Sudan,2019-03-13,2019-04-11,"Culture, Tourism, and Antiquities"
Al-Tayyib Hassan Badawi,Sudan,2013-12-08,2015-06-07,Culture
Al-Tayyib Hassan Badawi,Sudan,2015-06-07,2018-09-09,Culture
Al-Tijani Salih Fudayl,Sudan,2005-09-21,2010-06-16,International Cooperation
Al-Zahawi Ibrahim Malik,Sudan,2007-12-26,2010-06-16,Communications and Information
Albino Akol Akol,Sudan,1996-04-21,2002-08-19,Transport
Albino Akol Akol,Sudan,2005-09-21,2007-12-26,Foreign Affairs
Ali Ahmed Karti,Sudan,2010-06-16,2015-06-07,Foreign Affairs
Ali Mahmoud Abdul-Rasool,Sudan,2010-06-16,2013-12-08,Finance and National Economy
Ali Mohamed Osmane Yassine,Sudan,1998-03-09,2005-09-21,Justice
Ali Osman Mohamed Taha,Sudan,1998-02-12,2013-12-08,Vice-President
Ali Tamim Fartak,Sudan,2001-02-23,2002-08-19,National Education
Ali Tamim Fartak,Sudan,2002-08-19,2005-09-21,Electricity
Alison Manani Magaya,Sudan,2000-01-24,2001-02-23,Labour
Alison Manani Magaya,Sudan,2001-02-23,2005-09-21,Works and Administrative Reform
Alison Manani Magaya,Sudan,2005-09-21,2007-12-26,Human Resources and Labour
Alison Manani Magaya,Sudan,2007-12-26,2010-06-16,"Labour, Public Service, and Development of Human Resources"
Altayeb Ibrahim Mohammed Khair,Sudan,1998-03-09,2000-01-24,Social Planning
Amira Al-Fadil Mohamed Al-Fadil,Sudan,2010-06-16,2013-12-08,Welfare and Social Security
Asia Mohamed Abdalla,Sudan,2017-05-12,2018-09-09,Education
Awad Ahmad al-Jaz,Sudan,1995-08-12,2008-02-13,Energy and Mining
Awad Ahmad al-Jaz,Sudan,2008-02-13,2010-06-16,Finance
Awad Ahmad al-Jaz,Sudan,2010-06-16,2011-12-27,Industry
Awad Ahmad al-Jaz,Sudan,2011-12-27,2013-12-08,Petroleum
Awad al-Hassan al-Nur,Sudan,2015-06-07,2017-05-12,Justice
