minister,country,startdate,enddate,position
Azhari Abd-al-Qadir Abdalla,Sudan,2018-05-14,2019-03-13,"Petroleum, Gas, and Minerals"
Azhari Al-Tigani Awad al-Sid,Sudan,2005-09-21,2011-12-27,Religious Affairs
Badereldien Mahmoud,Sudan,2013-12-08,2017-05-12,Finance
Badr Eddin Mohammed Ahmed Suleiman,Sudan,1995-02-09,2000-01-24,Industry
Bahr Idris Abu Garda,Sudan,2011-12-27,2018-09-09,Health
Bahr Idris Abu Garda,Sudan,2018-09-09,2019-03-13,"Labour, Administrative Reform, and Human Development"
Bahr Idris Abu Garda,Sudan,2019-03-13,2019-04-11,Interior
Bakri Hassan Saleh,Sudan,1998-03-09,2000-07-10,Presidential Affairs
Bakri Hassan Saleh,Sudan,2000-07-10,2005-09-21,Defence
Bakri Hassan Saleh,Sudan,2005-09-21,2013-12-08,Presidential Affairs
Bakri Hassan Saleh,Sudan,2013-12-08,2017-03-01,Vice-President
Bakri Hassan Saleh,Sudan,2017-03-01,2018-09-09,Vice-President and Prime Minister
Bakri Hassan Saleh,Sudan,2018-09-09,2019-02-23,Vice-President
Barakat Musa al-Hawati,Sudan,2019-03-13,2019-04-11,Federal Government
Bushara Aru,Sudan,2017-05-12,2018-09-09,Animal Resources
Bushara Aru,Sudan,2018-09-09,2019-04-11,"Information, Communications and Information Technology"
Chamboul Adlane,Sudan,2000-07-10,2001-02-23,Aviation
Chol Ram Pang,Sudan,2010-06-16,2011-12-27,Transport
Dak Dop Pishop,Sudan,2010-06-16,2011-12-27,Labour
Deng Alor Kuol,Sudan,2005-09-21,2007-12-26,Minister of Cabinet Affairs
Deng Alor Kuol,Sudan,2007-12-26,2010-06-16,Foreign Affairs
Eissa Bushra Mohamed,Sudan,2010-06-16,2012-07-09,Science and Technology
Eissa Bushra Mohamed,Sudan,2012-07-09,2013-12-08,Science and Communications
El Zubair Bashir Taha,Sudan,2000-01-24,2001-02-23,Higher Education and Scientific Research
El Zubair Bashir Taha,Sudan,2001-02-23,2005-09-21,Scientific Research and Technology
El Zubair Bashir Taha,Sudan,2005-09-21,2008-02-13,Interior
El Zubair Bashir Taha,Sudan,2008-02-13,2010-06-16,Agriculture and Forests
Elias Neyama Lel,Sudan,2010-06-16,2011-12-27,External Trade
Esmat Abdel-Rahman,Sudan,2014-06-25,2017-05-12,Interior
Fadul Abdallah,Sudan,2017-05-12,2019-04-11,Presidential Affairs
Faisal Hassan Ibrahim,Sudan,2010-06-16,2015-06-07,Animal Resources and Fishing
Faisal Hassan Ibrahim,Sudan,2015-06-07,2018-09-09,Federal Government
Farah Mustafa Abdallah,Sudan,2010-06-16,2011-12-27,Education
Farah Mustafa Abdallah,Sudan,2011-12-27,2012-07-09,Labour
Farah Mustafa Abdallah,Sudan,2013-12-08,2015-06-07,Federal Government
Fatih Taj-al-Sir Abdalla,Sudan,2011-12-27,2013-01-15,Youth and Sports
Fatih Taj-al-Sir Abdalla,Sudan,2013-01-15,2017-05-12,Religious Affairs
Galwak Deng Garang,Sudan,1996-04-21,2000-01-24,Architectural Development and Studies
Galwak Deng Garang,Sudan,2005-09-21,2008-02-13,Animal Resources
George Boreng Niyami,Sudan,2005-09-21,2007-12-26,External Trade
George Boreng Niyami,Sudan,2007-12-26,2008-09-14,Higher Education and Scientific Research
George Boreng Niyami,Sudan,2008-09-14,2011-12-27,Investment
George Kongor Arop,Sudan,1995-08-12,2000-10-14,Vice-President
Ghazi Salahedine Atabanai,Sudan,1998-03-09,2001-02-23,Culture and Information
Ghazi Salahedine Atabanai,Sudan,2001-02-23,2001-06-14,Communications and Information
Ghazi al-Sidiq Abdul-Rahim,Sudan,2011-12-27,2012-07-09,"Antiquities, Tourism and Wildlife"
Ghazi al-Sidiq Abdul-Rahim,Sudan,2012-07-09,2012-08-19,Religious Affairs
Gutbi el Mahdi,Sudan,2000-01-24,2001-02-23,Social Welfare
Haider Galakumah,Sudan,2015-06-07,2017-05-12,Youth and Sports
Haj Majid Suwar,Sudan,2010-06-16,2011-12-27,Youth and Sports
Halima Hassaballa Al-Naeem,Sudan,2010-06-16,2011-12-27,Relations with the Parliament
Hamid Mannan,Sudan,2017-05-12,2018-05-14,Interior
Hamid Mohamed Ali Torine,Sudan,1999-03-06,2000-01-24,National Education
Hamid Moussa Kacha,Sudan,2000-07-10,2001-02-23,Agriculture
Hamid Muhammad Ibrahim,Sudan,2007-12-26,2010-06-16,Education
Hamid Muhammad al-Nur Ahmad Mumtaz,Sudan,2018-09-09,2019-03-13,Federal Government
Hamid Muhammad al-Nur Ahmad Mumtaz,Sudan,2019-03-13,2019-04-11,Industry and Trade
Harun Run Lual,Sudan,2007-12-26,2010-06-16,Humanitarian Affairs
Hasab-al-Nabi Musa Ahmed,Sudan,2018-09-09,2019-03-13,Agriculture
Hasan Uthman Rizq,Sudan,2001-02-23,2005-09-21,Youth and Sports
Hashim Mohamed Salim,Sudan,2017-05-12,2018-05-14,Minerals
Hashim Mohamed Salim,Sudan,2018-05-14,2018-09-09,Minister of Cabinet Affairs
Hassabo Mohamed Abdel Rahman,Sudan,2013-12-08,2018-09-09,Vice-President
Hassan Ismail Sid Ahmed,Sudan,2019-03-13,2019-04-11,Communications and Information
Hassan Mohammed Hilal,Sudan,2011-12-27,2018-09-09,"Environment, Forests and Urban Development"
Hatim Al-Sir,Sudan,2017-05-12,2018-09-09,Trade
Hatim Al-Sir,Sudan,2018-09-09,2019-04-11,Transport and Urban Development
Ibrahim Adam Ahmed Al-Dekhairi,Sudan,2015-06-07,2017-05-12,Agriculture and Forests
Ibrahim Ahmad Umar,Sudan,1996-12-02,2000-01-24,Higher Education and Scientific Research
Ibrahim Ghandour,Sudan,2015-06-07,2018-04-19,Foreign Affairs
Ibrahim Mahmoud Hamad,Sudan,2002-11-30,2005-09-21,Humanitarian Affairs
Ibrahim Mahmoud Hamad,Sudan,2008-02-13,2013-12-08,Interior
Ibrahim Mahmoud Hamad,Sudan,2013-12-08,2015-06-07,Agriculture
Ibrahim Mahmoud Hamad,Sudan,2018-05-14,2018-09-09,Interior
Ibrahim Mohamed Omar,Sudan,2008-02-13,2010-06-16,Science and Technology
Ibrahim Suleiman Hassan,Sudan,2000-01-24,2000-07-10,Aviation
Ibrahim Suleiman Hassan,Sudan,2000-07-10,2001-02-23,Federal Government
Ibrahim Yousif Mohamed,Sudan,2019-03-13,2019-04-11,Animal Resources and Fishing
Idris Suleiman Yousif,Sudan,2017-05-12,2018-09-09,International Cooperation
Isam Ahmad al-Bashir,Sudan,2001-02-23,2005-09-21,Guidance and Endowment
Ishaq Adam Bashir,Sudan,2019-03-13,2019-04-11,Petroleum and Gas
Ishraqah Sayed Mahmoud,Sudan,2011-12-27,2012-07-09,International Cooperation
Ishraqah Sayed Mahmoud,Sudan,2012-07-09,2015-06-07,Human Resources and Labour
Jalal Yusuf Muhammad al-Duqayrt,Sudan,2001-02-23,2002-08-19,Industry
Jalal Yusuf Muhammad al-Duqayrt,Sudan,2002-08-19,2002-11-30,Industry and Investment
Jalal Yusuf Muhammad al-Duqayrt,Sudan,2002-11-30,2010-06-16,Industry
Jalal Yusuf Muhammad al-Duqayrt,Sudan,2010-06-16,2011-12-27,International Cooperation
James Kol Rona,Sudan,2007-12-26,2010-06-16,External Trade
John Garang,Sudan,2005-07-09,2005-07-27,Vice-President
Josef Malwal,Sudan,2005-09-21,2010-06-16,Tourism
Josef Malwal,Sudan,2010-06-16,2011-12-27,"Environment, Forests and Urban Development"
Joseph Lual Achwel,Sudan,2010-06-16,2011-12-27,Humanitarian Affairs
Joseph Maloual,Sudan,1998-03-09,2000-01-24,Animal Health
Joseph Maloual,Sudan,2000-01-24,2000-07-10,Survey and Urban Development
Joseph Maloual,Sudan,2000-07-10,2001-02-23,Architectural Development
Joseph Maloual,Sudan,2001-02-23,2005-09-21,Aviation
Joseph Okelo,Sudan,2005-09-21,2010-06-16,Relations with the Parliament
Kamal Abdul-Latif,Sudan,2010-06-16,2011-12-27,Human Resources
Kamal Abdul-Latif,Sudan,2011-12-27,2013-12-08,Minerals
Kamal Ali Mohammed,Sudan,1999-03-06,2011-12-27,Irrigation and Water Resources
Kamal Mohamed Obeid,Sudan,2010-06-16,2011-12-27,Information
Karam al-Din Abd-al-Mawla,Sudan,2001-03-21,2002-08-19,International Cooperation
Karam al-Din Abd-al-Mawla,Sudan,2002-08-19,2005-09-21,Minister of Cabinet Affairs
Khalil Abdalla Mohamed Ali,Sudan,2011-12-27,2012-07-09,Religious Affairs
Khamis Kajou Kunda,Sudan,2011-12-27,2013-12-08,Higher Education and Scientific Research
Kosti Manibe,Sudan,2005-09-21,2007-12-26,Humanitarian Affairs
Kosti Manibe,Sudan,2007-12-26,2008-09-14,Investment
Kosti Manibe,Sudan,2008-09-14,2010-06-16,Minister of Cabinet Affairs
Kuwal Maniang Ajok,Sudan,2005-09-21,2007-12-26,Transport
Lt-Gen Umar Hasan Ahmad al-Bashir,Sudan,1993-10-30,2002-08-19,Prime Minister
Lt-Gen Umar Hasan Ahmad al-Bashir,Sudan,2002-08-19,2019-04-11,President and Prime Minister
Lual Achwel Deng,Sudan,2010-06-16,2011-12-27,Petroleum
Luka Byong,Sudan,2010-06-16,2011-12-27,Minister of Cabinet Affairs
Magdi Hassan Yassin,Sudan,2019-03-13,2019-04-11,Finance and Economic Planning
Mahdi Ibrahim,Sudan,2001-06-14,2005-09-21,Communications and Information
Mahdi Ibrahim,Sudan,2005-09-21,2007-12-26,Information
Majdhub al-Khalifah Ahmad,Sudan,2001-02-23,2005-09-21,Agriculture
Makawi Mohammed Awad,Sudan,2013-12-08,2015-06-07,Petroleum
Makawi Mohammed Awad,Sudan,2015-06-07,2018-09-09,"Transport, Roads, and Bridges"
Malek Agar Ayar,Sudan,2005-09-21,2007-12-26,Investment
Mansour Yousif Al-Agab,Sudan,2015-06-07,2017-05-12,Trade
Martin Malwal Arop,Sudan,2001-02-23,2005-09-21,Minister of Cabinet Affairs
Mashaer Mohamed Al-Amin Abdallah,Sudan,2013-12-08,2018-09-09,Welfare and Social Security
Mashair Ahmad al-Amin al-Dulab,Sudan,2018-09-09,2019-03-13,Education
Mekki Ali Balayil,Sudan,1999-03-06,2000-01-24,Aviation
Mekki Ali Balayil,Sudan,2000-01-24,2001-02-23,External Trade
Mhadi Babou Nimer,Sudan,1998-03-09,2000-01-24,Health
Modathir Abdul-Ghani Abdul-Rahman,Sudan,2015-06-07,2017-05-12,Investment
Mohamed Abdul Karim Al-Hud,Sudan,2011-12-27,2012-07-09,Communications and Information Technology
Mohamed Abdul Karim Al-Hud,Sudan,2012-07-09,2015-06-07,"Antiquities, Tourism and Wildlife"
Mohamed Abu Zaid Mustafa,Sudan,2015-06-07,2018-09-09,"Antiquities, Tourism and Wildlife"
Mohamed Abu Zaid Mustafa,Sudan,2018-09-09,2019-03-13,Health
Mohamed Ahmed Taher Abu Kalabish,Sudan,2008-02-13,2010-06-16,Animal Resources
Mohamed Ahmed bin Awaf,Sudan,2015-08-23,2019-02-23,Defence
Mohamed Ahmed bin Awaf,Sudan,2019-02-23,2019-04-11,Vice-President and Minister of Defence
Mohamed Bushara Dosa,Sudan,2010-06-16,2015-06-07,Justice
Mohamed Khair el Zubair,Sudan,2000-01-24,2001-02-23,Finance
Mohamed Zayed Awad,Sudan,2015-06-07,2017-05-12,Petroleum and Gas
Mohammed Ali al-Mardi,Sudan,2005-09-21,2008-02-13,Justice
Mohammed Osman Suleiman Rikabi,Sudan,2017-05-12,2018-09-09,Finance
Mohammed Tahi Aila,Sudan,1996-04-21,2000-01-24,Tourism and Environment
Mohammed Tahi Aila,Sudan,2000-01-24,2001-02-23,Roads and Telecommunications
Mohammed Tahi Aila,Sudan,2001-02-23,2005-09-21,Roads and Bridges
Mohammed Tahir Ella,Sudan,2019-02-23,2019-03-13,"Prime Minister, Finance, and Economic Planning"
Mohammed Tahir Ella,Sudan,2019-03-13,2019-04-11,Prime Minister
Mohammed Yousif Ali Yousif,Sudan,2015-06-07,2017-05-12,Industry
Mohammed Yusuf Abdallah,Sudan,2005-09-21,2010-06-16,"Culture, Youth and Sport"
Mohammed al-Amin Issa Kabbashi,Sudan,2005-09-21,2008-02-13,Agriculture and Forests
Mohammed al-Amine Khalifa,Sudan,1998-03-09,2000-01-24,Minister of Cabinet Affairs
Mohmed Abu-Fatima,Sudan,2019-03-13,2019-04-11,Minerals
Moses Machar,Sudan,2001-02-23,2005-07-09,Vice-President
Moustafa Osmane Ismail,Sudan,1998-02-12,2005-09-21,Foreign Affairs
Moustafa Osmane Ismail,Sudan,2013-12-08,2015-06-07,Investment
Muattaz Musa Abdallah Salim,Sudan,2013-12-08,2015-06-07,Water Resources and Electricity
Muattaz Musa Abdallah Salim,Sudan,2015-06-07,2018-09-09,"Water Resources, Irrigation, and Electricity"
Muattaz Musa Abdallah Salim,Sudan,2018-09-09,2018-09-15,Prime Minister
Muattaz Musa Abdallah Salim,Sudan,2018-09-15,2019-02-23,"Prime Minister, Finance, and Economic Planning"
Mubarak Abdullahi El-Fadil El-Mahdi,Sudan,2017-05-12,2018-09-09,Investment
Mubarak Muhammad Ali al-Majdhub,Sudan,2001-02-23,2005-09-21,Higher Education
Muhammad Ahmad Salim,Sudan,2018-05-14,2019-04-11,Justice
Musa Mohamed Karama,Sudan,2017-05-12,2018-09-09,Industry
Musa Mohamed Karama,Sudan,2018-09-09,2019-03-13,Industry and Trade
Musa Tibin Musa,Sudan,2015-06-07,2017-05-12,Animal Resources
Mustafa Osman al Obeid,Sudan,2015-06-07,2015-08-23,Defence
Nafi Ali Nafi,Sudan,2001-02-23,2005-09-21,Federal Government
Nafi Ali Nafi,Sudan,2005-09-21,2010-06-16,Presidential Affairs
Osama Abdalla Mohamed Al-Hassan,Sudan,2010-06-16,2012-07-09,Electricity and Dams
Osama Abdalla Mohamed Al-Hassan,Sudan,2012-07-09,2013-12-08,Water Resources and Electricity
Osman Omar al-Sharif,Sudan,2011-12-27,2015-06-07,Trade
Osman Yusuf Kibir,Sudan,2018-09-09,2019-03-13,Vice-President
Osman al-Toam Hamad,Sudan,2019-03-13,2019-04-11,"Water Resources, Irrigation, and Electricity"
Osmane al-Hadi Ibrahim,Sudan,1999-03-06,2000-01-24,Agriculture
Pagan Amum Okiech,Sudan,2007-12-26,2008-09-14,Minister of Cabinet Affairs
Paul Mithanq,Sudan,2005-09-21,2007-12-26,Education
Peter Adwok Nyaba,Sudan,2008-09-14,2011-12-27,Higher Education and Scientific Research
Peter Niyot Kok,Sudan,2005-09-21,2007-12-26,Higher Education
Philip Thon Leek,Sudan,2007-12-26,2010-06-16,"Transport, Roads, and Bridges"
Riek Gai,Sudan,2001-02-23,2005-09-21,Animal Health
Rudhwan Mohamed Ahmed Murjan,Sudan,2019-03-13,2019-04-11,Agriculture and Forests
Saddiq al-Sharif Ibrahim Yusuf al-Hindi,Sudan,2001-02-23,2001-03-21,International Cooperation
Saif-Eddin Hamad Abdalla,Sudan,2011-12-27,2012-07-09,Water Resources
Salah Muhammad Muhammad Salih,Sudan,2001-02-23,2005-09-21,Presidential Affairs
Salaheddin Wansi Mohammed Khair,Sudan,2013-12-08,2017-05-12,Presidential Affairs
Salva Kiir Mayardit,Sudan,2005-08-11,2011-07-09,Vice-President
Samiyah Ahmad Muhammad,Sudan,2001-02-23,2005-09-21,Social Welfare
Samiyah Ahmad Muhammad,Sudan,2007-12-26,2010-06-16,Welfare and Social Development
Sayyid Mohamed Qasam al Fidr,Sudan,2018-09-09,2019-03-13,"Water Resources, Irrigation, and Electricity"
Siddiq Mohamed Tawm Hamad al-Nayer,Sudan,2013-01-15,2015-06-07,Youth and Sports
Suaad Abdul Razig,Sudan,2011-12-27,2017-05-12,Education
Sua’ad al-Karib,Sudan,2019-03-13,2019-04-11,Welfare and Social Security
Suhair Ahmed Salah,Sudan,2019-03-13,2019-04-11,Higher Education and Scientific Research
Sumaya Mohammed Ahmed Abu-Kashawa,Sudan,2013-12-08,2018-09-09,Higher Education and Scientific Research
Tabita Sokaya,Sudan,2005-09-21,2010-06-16,Health
Tahani Abdallah Attiya,Sudan,2013-12-08,2015-06-07,Science and Communications
Tahani Abdallah Attiya,Sudan,2015-06-07,2018-09-09,Communications and Information Technology
Tayyar Abdallah Ali Safi al-Nur,Sudan,2003-05-08,2005-09-21,Minister of Cabinet Affairs
Umar Sulayman Ibrahim,Sudan,2018-09-09,2019-03-13,"Culture, Tourism, and Antiquities"
Widad Yacub Ibrahim Uthman,Sudan,2018-09-09,2019-03-13,Welfare and Social Security
Yahiya Abdalla Mohamed Hamad,Sudan,2010-06-16,2011-12-27,Communications and Information Technology
Yusuf Sulayman Takana,Sudan,2002-08-19,2005-09-21,International Cooperation
Zubair Ahmed al-Hassan,Sudan,2002-05-07,2008-02-13,Finance
Zubair Ahmed al-Hassan,Sudan,2008-02-13,2010-06-16,Energy and Mining
al-Dirdiri Muhammad Ahmad,Sudan,2018-05-14,2019-04-11,Foreign Affairs
al-Saddiq Majouba Al-Tayeb,Sudan,2019-03-13,2019-04-11,Health
al-Semaih al-Siddiq al-Nur,Sudan,2013-12-08,2015-06-07,Industry
el Hadi Abdallah,Sudan,2000-07-10,2001-02-23,Interior
el Tijani Adam el Tahir,Sudan,2000-01-24,2001-02-23,Tourism
el Tijani Adam el Tahir,Sudan,2001-02-23,2005-09-21,Environment and Construction Development
