item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112729732,Abraham Albino Kuot,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729732-C65FDA14-C484-4964-8769-FAE042FC3777
Q112729737,Adelino Michael Wani,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729737-BA58939D-3ECB-4B00-B83A-A70BB4ECD326
Q112729739,Agnes Nyoka Peter,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729739-6209ECE8-5772-4F40-9CAD-A865E64720B1
Q112729743,Ajok Wol Atak Deng,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729743-181F6307-B598-4479-A8F8-47C2F90053C1
Q112729744,Akuar Gamar Ujieth,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729744-DD286B36-BEBE-47F1-B2C1-C653790EDE32
Q112729745,Akuot Chan Kuac,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729745-6AFFB356-13B9-49DC-A7AD-50861706BB6A
Q112729746,Alambeny Malith Riak,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729746-1E9CE5B3-D6D2-4AE6-BD4B-E269ACC73248
Q112729747,Ali Adillan Nur-aldin,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729747-FE4E1BE2-AEB8-4569-9BFA-1F6FE49F573F
Q112729748,Alma Jervas Yak,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729748-A57D356F-AEB5-4E39-8559-7E81350EC63D
Q112729749,Anita Allah-jabu Mursal,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729749-9CA4D444-F05A-41C3-BA1E-B3DED04237C0
Q112729750,Ann Lino Wor Abyei,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729750-6A2CFCDD-3268-461A-B654-5EA7C92E52D7
Q112729752,Anthony Kudus Justin,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729752-52E6E443-12AB-403F-9B16-AB6264B0ABD6
Q112729753,Asha Abdalsalam Alawad,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729753-B70B3D99-885A-413B-8466-9EE22DA30650
Q112729754,Atem Garang D. Dekuek,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729754-74D292AB-6A53-46E8-8F9F-74D3376DD160
Q112729755,Augustino Mathok Thok,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729755-0EC73424-400D-4A6B-B4D1-19CB0506E5E8
Q112729757,Ayak Ngor Malek,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729757-F27F70AF-68EA-43AE-BECF-19B248A08006
Q112729759,Benjamin Bol,Q15980873,SPLM-DC,,,2010-05-24,2011-07-10,,Q112729759-AA180E2D-F1E6-4C14-9A2B-2424A1FB1E67
Q112729760,Bona Bak Nyang,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729760-421A1A9A-B42E-4456-A086-F52EB6FD7920
Q112729761,Bullen Kot Beny Adiak,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729761-E3C28446-3E31-4056-B418-12D14BF2D3D6
Q112729762,Bur Gatwich Kuny,Q459960,SPLM,,,2010-05-24,2011-07-10,,Q112729762-D17E2288-74E3-42DD-8577-26276261ED71
