item,itemLabel,startDate,endDate,sourceDate,psid
Q112790238,Sabir Mohammed El-Hassan,1998,2011,2022-06-29,Q112790238-FCA0B578-8172-422C-B125-B1D74379D8B5
Q112790237,Mohamed Kheir El-Zubeir,2011-03-08,2013-12-15,2022-06-29,Q112790237-853D3A23-E42A-4681-9A17-C69D200766A4
Q112790233,Abdelrahman Hassan Abdelrahman Hashim,2013-12-15,2016-12-28,2022-06-29,Q112790233-ED1E957E-F6CA-483D-806B-E238F9384EEF
Q112790234,Hazim Abdegadir Ahmed Babiker,2016-12-28,2018-06-16,2022-06-29,Q112790234-053083FC-D797-43F2-8904-599F950CFCB5
Q112790237,Mohamed Kheir El-Zubeir,2018-09-16,2019-03-06,2022-06-29,Q112790237-BE6A9DAE-17D6-4CD0-AF21-3D0A0156A7A2
Q112790235,Hussein Yahya Jangoul al-Basha,2019-03,2019-12-10,2022-06-29,Q112790235-1E2DBFC0-2AD9-47E9-8B59-CCD82989EB5E
Q112790236,Mohamed Elfatih Zein al-Abdein,2020-03-19,,2022-06-29,Q112790236-6F81F49D-CBF4-4597-B097-4C8A75CA2DDC
