@@,item,itemlabel,startdate,enddate
---,Q57265,Omar al-Bashir,1993-10-30,2002-08-19
---,Q56556415,Motazz Moussa,2018-09-09,2018-09-15
->,Q56556415,Motazz Moussa,2018-09-15->2018-09-10,2019-02-23
->,Q48728938,Mohamed Tahir Ayala,2019-02-23,2019-03-13->2019-04-11
---,Q48728938,Mohamed Tahir Ayala,2019-03-13,2019-04-11
+++,Q22949078,Ahmed Awad Ibn Auf,2019-04-11,2019-04-12
+++,Q63111184,Abdel Fattah al-Burhan,2019-04-12,2019-08-20
