item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112678224,Abdel Jabbar Adam Abd El Karim Khamis,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678224-9C57C5FA-4FBE-447B-AA77-16758164862F
Q112678225,Abla Mehadi Abd El Moniem Ahmed,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678225-3AC1818F-8C78-48C7-AA98-EA177BD57F0A
Q110917207,Abu El Gasim Mohammed Ibrahim,Q1471945,NCP,,,2010-05-24,2015-04-13,male,Q110917207-87A552A7-E70F-44B1-A615-875C43A4AC95
Q112678226,Aldu Aju Deng,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678226-CD02E1B2-898E-49FE-8672-6542A48D5BB5
Q112678227,Alid Dyak Makul,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678227-B55BDB32-6780-49CD-9F02-C99A63020963
Q112678228,Ambly Abdallah El Ajab Ambly,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678228-A1FAAD04-C329-448F-9E8E-9AAB5ADF90E2
Q112678229,Amnah Adam Barakah Abo,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678229-3681A7A3-BAD9-4BC3-B9C6-8E7DC4E3B8CB
Q112678230,Anbi Ngok Anbi,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678230-FE3A59C5-9912-486B-9EAF-452FC0FCA2AB
Q112678231,Awad Hag Alim Ahmed A. Razig,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678231-20CA5F6A-2894-4129-80B9-F92482AD82CE
Q112678232,Badawi El‐Khair Idris A. El‐Nour,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678232-4BD1CD9C-A725-4881-9E34-0E942BB85BA1
Q112678233,Chan Malwal Chan,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678233-F87AC989-4746-4241-AC9E-CC2DBAC8CA49
Q112678234,Diyakon Ricardu Augali,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678234-882C66FA-9062-4F98-82C3-B316446C7E73
Q112678235,Donatu Dimo Wol,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678235-F6DD1749-0E3E-4431-BF38-31524C404300
Q112678236,El Sir Yousuf Abdallah El Karyiel,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678236-3878E089-4BF7-4E65-93A2-14109AA03396
Q112678237,Gur Ghol Ngo Deng,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678237-E04C60CF-DF8D-4031-B13E-6ABE407BDE88
Q112678238,Hajir Awad El Seed Ahmed Masoud,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678238-2C99834E-A134-4416-8D37-E45347DBB7A1
Q112678239,Hamid Mohammed Adam Hamid,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678239-2DD4C966-2F98-4ADB-BBAB-13290380662F
Q112678240,Hassan Abbas Abu Ras,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678240-ED8DC936-9EC5-4DA2-AEAC-AE0178D3037F
Q112678241,Husham Mohammed Ahmed El‐Birair,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678241-2B0CFDBC-DAB7-418B-8EFB-A5B755B8B159
Q112678242,Ismail El Hag Mousa,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678242-510147DA-5F54-4F1F-917C-5AFACB8A5366
Q112678243,Izak Sumu Kalium Ramadan,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678243-DA54F09D-3001-4926-AF2D-29B0EA970331
Q112678244,Jabir Abdel Gadir A. El Mohsen Osman,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678244-F4F5C966-404E-4E6A-A967-693B65A01B16
Q112678245,Jabr Allah Khamseen Fidaily Mohammed,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678245-779859E7-621D-4FF3-82F0-08B481BEBA82
Q112678246,Jadain Jada Solomon,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678246-5293FECF-AABA-46CA-A815-7B8C79A80AC3
Q112678247,James Magok Atier,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678247-A97787DE-AD4C-40AF-B2F9-F039902CAD66
Q112678248,James Tok Aryal,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678248-436F7233-954D-471B-AC6C-8CCD54F105C9
Q112678249,John Goyal Paul,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678249-11047F8A-464B-4604-B9C8-4B4C6C19BB74
Q112678250,Joseph Abang Deng,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678250-B89FFC2D-E1E0-41AC-9D07-EA4590B38BF6
Q112678251,Kanu Celement Janda,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678251-CD6A0802-5AD4-4863-A1BC-69AD11FAE0E4
Q112678252,LG. Adam Hamid Mousa,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678252-FB9AC619-CD27-4C81-ADB6-E0BD27242F08
Q112678253,Lweis Vitu Akwar,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678253-76ABCB6D-EA3C-4980-9DDF-A720FB7741E2
Q112678254,Mahmoud Mohammed Mahmoud Hamid,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678254-D19BEAE5-0928-44D5-9764-E085719EF50E
Q112678255,Majak Machar Dulbai,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678255-1C15724F-8F20-46FF-9AA0-815A66F3E5B2
Q112678256,Marco Luhai Lubuki,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678256-D63BFD35-D3D8-4BE1-A0FA-BAA59E42D359
Q112678257,Mirghani El‐Muzamil El Faki Mukhtar,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678257-79AAE834-E1A7-41B7-A3AB-54CF2B16BAE0
Q112678258,Mohammed El Sharif Ibrahim El Tuhami,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678258-BD8833D3-82D8-4D88-B5EC-92DC1582FF14
Q112678259,Mohammed Ishaq Ali Osman,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678259-5DFF8BEC-0BAE-4897-979E-3B592AD0C2F2
Q112678260,Mousa Jalis Adam Yagoub,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678260-3619BADA-2F9C-4DFC-B7C8-221F0442DE6B
Q112678261,Remi Ular AluRung,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678261-897E37D4-D3D9-4F4F-BFCD-ED864D77C53B
Q112678262,Riyao Ghalit Gai,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678262-7B2114F2-B30B-4036-B585-EF64C13539EB
Q112678263,Saadiah Mulah Mohammed Osman,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678263-B56A0562-5D48-4DF8-9F70-7C3B17786C82
Q112678264,Salah Ali El Ghaly Taj El Din,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678264-D646A3A9-BBDB-4EF8-9324-46F51F142F94
Q112678265,Salah El‐ Mohammed El Hassan Mustafa,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678265-B196D47A-5899-40EC-B95D-B8A0D674186A
Q112678266,Sharif Mohamadain Adam Sabi,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678266-861DCF30-1926-4ECC-B4D4-AB063A2C3FEA
Q112678267,Victor Edward,Q459960,SPLM,,,2010-05-24,2015-04-13,,Q112678267-7BF75787-545A-4D0D-8A7E-C6CDC32F79E4
Q112678268,Widad Yaboub Ibrahim Osman,Q1471945,NCP,,,2010-05-24,2015-04-13,,Q112678268-9D94B6B4-DFCE-44FE-B856-7F78C869CF8E
