number,itemLabel,areaLabel,partyLabel
1,Badawi El‐Khair Idris A. El‐Nour,Northern,NCP
2,Widad Yaboub Ibrahim Osman,Northern,NCP
3,Mirghani El‐Muzamil El Faki Mukhtar,River Nile,NCP
4,Husham Mohammed Ahmed El‐Birair,River Nile,NCP
5,Hamid Mohammed Adam Hamid,Red Sea,NCP
6,Awad Hag Alim Ahmed A. Razig,Red Sea,NCP
7,Salah El‐ Mohammed El Hassan Mustafa,Kassala,NCP
8,Mahmoud Mohammed Mahmoud Hamid,Kassala,NCP
9,Jabir Abdel Gadir A. El Mohsen Osman,Gadarif,NCP
10,Hajir Awad El Seed Ahmed Masoud,Gadarif,NCP
11,Ismail El Hag Mousa,Khartoum,NCP
12,Abu El Gasim Mohammed Ibrahim,Khartoum,NCP
15,El Sir Yousuf Abdallah El Karyiel,White Nile,NCP
16,Saadiah Mulah Mohammed Osman,White Nile,NCP
17,Mohammed El Sharif Ibrahim El Tuhami,Sinnar,NCP
18,Ambly Abdallah El Ajab Ambly,Sinnar,NCP
19,Mohammed Ishaq Ali Osman,Blue Nile,NCP
20,Hassan Abbas Abu Ras,Blue Nile,SPLM
21,Jabr Allah Khamseen Fidaily Mohammed,North Kordofan,NCP
22,Abla Mehadi Abd El Moniem Ahmed,North Kordofan,NCP
25,Sharif Mohamadain Adam Sabi,North Darfur,NCP
26,LG. Adam Hamid Mousa,North Darfur,NCP
27,Abdel Jabbar Adam Abd El Karim Khamis,West Darfur,NCP
28,Amnah Adam Barakah Abo,West Darfur,NCP
29,Salah Ali El Ghaly Taj El Din,South Darfur,NCP
30,Mousa Jalis Adam Yagoub,South Darfur,NCP
31,Joseph Abang Deng,U. Nile,SPLM
32,James Tok Aryal,U. Nile,SPLM
33,John Goyal Paul,Jonglie,SPLM
34,Alid Dyak Makul,Jonglie,SPLM
35,Gur Ghol Ngo Deng,Unity,SPLM
36,Riyao Ghalit Gai,Unity,SPLM
37,Chan Malwal Chan,Warap,SPLM
38,Anbi Ngok Anbi,Warap,SPLM
39,Aldu Aju Deng,N. BarGhazal,SPLM
40,Donatu Dimo Wol,N. Bahr Ghazal,SPLM
41,Diyakon Ricardu Augali,W. Bahr Ghazal,SPLM
42,Lweis Vitu Akwar,W. Bahr Ghazal,SPLM
43,James Magok Atier,Lakes,SPLM
44,Majak Machar Dulbai,Lakes,SPLM
45,Izak Sumu Kalium Ramadan,W. Equatoria,SPLM
46,Victor Edward,W. Equatoria,SPLM
47,Kanu Celement Janda,C. Equatoria,SPLM
48,Jadain Jada Solomon,C. Equatoria,SPLM
49,Remi Ular AluRung,E. Equatoria,SPLM
50,Marco Luhai Lubuki,E. Equatoria,SPLM
